,cid,votes,time,含grandma,含grandma中文翻译
51901,UgzTBLVKdNYJAFiv7T14AaABAg,78,4 years ago (edited),"the lunar new year is almost the same as li ziyi bless you every day, happy, carefree health, and blessing your grandma longevity and longevity.",农历新年 快到了 李子柒 祝福妳 每天都快乐 无忧无虑 身体健康 也祝福妳奶奶 长命百岁 万寿无疆 来自台湾地区 一个平凡人的祝福
47885,UgyqT8f93h8eaBjtGSV4AaABAg,76,4 years ago,i love how she love her grandma so much. ❤️,我爱她非常爱奶奶。 ❤️
52114,Ugzs5gxT0CEiwFvlQ8t4AaABAg,76,4 years ago,"these videos are little gems. i treasure each one and marvel at your life. you bring such joy to the tasks of your days, joy to your grandma and i hope and believe to the people around you. i have gained a whole different perspective of china from watching these glimpses into a way of being i had no concept of before. today i saw some humour in you, the little kick and jump from the loud bang, so cute. you are a blessing to this world.",这些视频是小宝石。我珍惜每个人，并惊叹于你的生活。您为自己的日子的任务带来了如此快乐，对奶奶感到高兴，我希望并相信周围的人们。我从看着这些瞥见的一种方式中获得了一种完全不同的中国观点。今天，我看到了你的幽默，小踢从大声的爆炸中跳了起来，真可爱。你是这个世界的祝福。
23003,UgxZHCAU_6rsFHdy78Z4AaABAg,72,3 years ago,"she's so cute when she cover her grandma's ears, but when the pop corn pops she jumps. she also surprises her grandma with that kind of crispy hot cake or whatever you call it. she's so sweet ๐",当她遮住祖母的耳朵时，她真可爱，但是当流行玉米弹出时，她跳了出来。她还用这种酥脆的热蛋糕或您所说的任何东西使祖母感到惊讶。她真可爱
39990,UgzRg2duHRyigXtfcDl4AaABAg,67,4 years ago (edited),loved this video! ms. li and her grandma and uncle are adorable! she's a very hard working woman. these videos should get more likes and no dislikes. wonderful and warming videoโค,喜欢这个视频！李女士和她的祖母和叔叔很可爱！她是一个非常努力的女人。这些视频应该得到更多的喜好，而不喜欢。精彩而温暖的视频❤
39694,UgwQcWZrlXAU2kq2xUp4AaABAg,58,4 years ago,"i scared and jumped up, it's really cute
่ฑ seeing the full english comments below, i really feel happy for you. people in different countries like your videos very much, and people who watch it also feel easy and happy. i wish you and grandma who can live a happy and healthy manner every day like now ๐","吓到跳起来那下真的太可爱了
"
52420,UgwA78jo5lO967G8sYR4AaABAg,55,4 years ago,the way she closes her grandma's ear was so cute. love you ☺,她关闭奶奶的耳朵的方式是如此可爱。爱你☺
12295,Ugyd_w--nc63O_L2U5R4AaABAg,54,2 years ago,"8:25 
grandma: quit eating everything. 
liziqi: i’m not it’s quality control","8:25
奶奶：戒烟。
liziqi：我不是它的质量控制"
39018,UgxwnyMKTCAQhmJB_Z14AaABAg,54,4 years ago,"this is the first video that i watched. from that moment on, i had subscribed. even my aunt, mom, uncle, dad, including my grandma now enjoy watching your videos. thank you.",这是我观看的第一个视频。从那一刻起，我已经订阅了。甚至我的姨妈，妈妈，叔叔，爸爸，包括我祖母现在喜欢看你的视频。谢谢。
24337,UgzWt6yrfg0meKAAyuJ4AaABAg,52,3 years ago,"so cute when she peeked out behind the door with mango cones like ""surprise grandma!!"":,)))",当她用“惊喜奶奶！”这样的芒果锥露出门后，她真可爱
14730,UgylM7KWZRCBo8cA5414AaABAg,51,2 years ago,when she covered her grandmas ears,当她遮住祖母的耳朵
25348,UgwJVpehKaKELcdYy8p4AaABAg.9-RhCpaDX1W902RsjUdBuk,50,3 years ago,"@sonnen-bogenmensch8694 my life is good and i love ziqi's videos. if it was show it would not matter to me, i would still love the message and warmth she sends. but i believe ziqi's heart is good and that is enough for me. beautiful girl with a sweet grandma making down to earth videos, what's not to love? i think my friend you need to check your own life and see why your so unhappy and attack others for being happy. take care.",@sonnen-bogenmensch8694我的生活很好，我喜欢Ziqi的视频。如果显示出对我来说并不重要，我仍然会喜欢她发送的信息和温暖。但是我相信Ziqi的心是好的，这对我来说就足够了。美丽的女孩，有一个甜美的奶奶播放地球视频，什么不爱？我认为我的朋友您需要检查自己的生活，看看为什么您如此不开心并攻击他人快乐。小心。
4980,UgwIeCZTs9WO61RW-V14AaABAg,48,1 year ago,i love how she takes care of her grandma,我喜欢她如何照顾祖母
46857,UgxyHdNFG8GxD0TWdWJ4AaABAg,43,4 years ago,"bless the chinese new year of the world. the new year this year can not return to china because of the exam. ziyi and i came from the same place. when i saw her video, i thought of her grandma, because ziyi did something that many sichuan women would do, passed down from generation to generation. unfortunately, many people in the mother are unwilling to learn. they are very happy to see that young people inherit these things. in addition, i will make most of the dishes she will make. it is also what grandma taught me before i went abroad. i was afraid that i could not eat the taste of my hometown outside. i hope that young people can take the initiative to inherit the traditional culture of our chinese nation ~ i hope to graduate soon and return to sichuan as soon as possible.",祝福全球华人新年快乐。今年过年因为要考试没办法回国啦。我和子柒来自同一个地方，看到她的视频就想起了自己的奶奶，因为子柒做的就是很多四川女人会做的东西，代代相传。可惜到了妈妈辈很多人都不愿意学习了，很开心看到还有年轻人传承这些东西。另外，她做的菜我会做大半部分，也是奶奶在我出国之前教我的，怕我在外面吃不到家乡的味道。希望年轻人都能主动传承发扬我们的中华民族的传统文化吧~ 希望早日毕业，早日回到四川。
34589,UgwsmwvcLDkPPQyKcIB4AaABAg.8uzOrtFqjkV8vDlfZ2ha6O,43,4 years ago,"shes so respectful tho, covering her grandma's ears instead of her own",她是如此的尊重，遮住了奶奶的耳朵，而不是自己
34588,UgwsmwvcLDkPPQyKcIB4AaABAg.8uzOrtFqjkV8vCg0LASNUG,41,4 years ago,that was really cute honestly haha she's covering her grandmas ears and then she freaks out,老实说，那真的很可爱，哈哈，她遮住了祖母的耳朵，然后她吓坏了
13697,UgwoGipw8OgTdT4h0qB4AaABAg,40,2 years ago,grandma is so lucky that she's got such a beautiful and a hard working granddaughter who looks after her. keep up the good work lizigi ♥️,奶奶很幸运，她有一个如此美丽而勤奋的孙女，照顾她。保持良好的工作Lizigi♥♥
47324,UgyokK6B7E47XLXi7OJ4AaABAg,37,4 years ago (edited),"happy chinese new year to u and grandma!!! 
i love watching ur videos! the life u live is beyond beautiful...","在春节快乐，你和奶奶！！！ 
我喜欢看你的视频！你的生活超越美丽..."
30510,UgyySwGmDvOFkuceh9F4AaABAg.8wygo0jMHYk8xDNjx_I5o1,33,3 years ago,"odee we have youku instead youtube, so we don't have to break the law, her video will first upload to weibo, meipai, tiktok and so on, youtube may be the last one.she is not poor, she worked in city when she was younger, she came to her hometown because her grandma is old and she wants to take care of her. i grew up in the countryside either, and i am working in beijingnow, if i want , i can do the same thing like she did, of course no gov. her team have three people, include her. but she do most things. why do i know this? because i'm chinese, i broke the law, so i can talk to you here, but most time i scan youku , weibo, bilibili, and so on.",ODEE我们有Youku而不是YouTube，所以我们不必违反法律，她的视频将首先上传到微博，Meipai，Tiktok等，YouTube可能是最后一个。她还年轻，因为她的祖母老了，她想照顾她，所以她来到了家乡。我也在乡村长大，在北京那诺工作，如果我愿意的话，我可以做像她一样的事情，当然没有政府。她的团队有三个人，包括她。但是她做大多数事情。我为什么知道这一点？因为我是中国人，所以我违反了法律，所以我可以在这里与您交谈，但是大多数时候我会扫描Youku，Weibo，Bilibili等。
49362,Ugys4c6j_DQ2Wt0tRsp4AaABAg,32,4 years ago,your grandma is the happiest grandma to have you by her side. love to see you care for elderly woman.,您的奶奶是最快乐的奶奶，让您陪在她身边。很高兴看到您关心老年女人。
32351,UgzJjoNh95w-gpe6dch4AaABAg.8vuWgu4W6ZM8w45kib747s,32,4 years ago,"c'mon on, let her stay with her grandma",来吧，让她和奶奶一起呆
28682,UgzzufmWX44VML3gKRN4AaABAg,31,3 years ago,"good friends: there are no background music, nuts, cut vegetables and water, and the surrounding birds are called insects, or grandma and animals have sounds. the real voice is the essence of everyone. we have no nature, no fields, no zen. without slow man's life, please give us these people who live in the city. everything is used to buy money. the people who are controlled by money are alive. please, thank you.",好朋友:没有背景音乐，坚果，切菜洗水跟周围的鸟叫虫鸣或是奶奶跟动物生声音，真实的声音才是阅众要的，我们没有大自然，没有田，没有禅意，没有慢曼的生活，请给我们这些生活在城市里，每一样东西都用钱买，被金钱控制的人一点活着的感觉，拜托，谢谢。
31348,Ugx4K-44xuU5_6GM9oR4AaABAg,30,3 years ago,"she acts so cute. she is adorable,sweet and of course so caring and protective towards her grandma. cannot forget the way she covers her granny's ears and herself gets freaked out.",她的举止真可爱。她很可爱，甜美，当然如此关怀和保护她的祖母。不能忘记她遮住奶奶的耳朵的方式，而她自己被吓坏了。
28180,Ugwog3eU6SdvvmNLfHp4AaABAg,30,3 years ago,"beautiful relaxing nature. beautiful woman. cute grandma. sweet animals. delicious foods.
amazing, just amazing. i love that.","美丽的轻松自然。美丽的女人。可爱的奶奶。甜动物。美味的食物。
太神奇了，真是太神奇了。我喜欢那个。"
13491,Ugwd2pTc1ECD_aBrjMp4AaABAg,29,2 years ago,"hey grandma cover your ears then freaked out

grandma : chill","嘿奶奶遮住了你的耳朵，然后吓坏了

奶奶：冷静"
6197,UgwdhOICQlQ_O70wR2p4AaABAg,29,2 years ago,my favourite moment is at 5:55 i love how she ran to her grandma,我最喜欢的时刻是5:55我喜欢她如何跑向奶奶
13750,UgwfLwx99C4GC5g_0ld4AaABAg,25,2 years ago,is nobody gonna talk about how cute her grandma is?,没有人会谈论她的祖母有多可爱吗？
46908,Ugxt_UgIcBmTXIOOGpt4AaABAg,24,4 years ago (edited),"i love this episode the most! especially when she go cover her grandma ear lol. happy chinese new year to you and your grandma!

scene that you may miss the small cute details
0.42 when she crack the chestnut and puppy feet try to steal it. great shot!
3.33 i guess everyone who cook would want to get that wooden ingredient tray! 
5.55 when they open the popcorn pot 
8.47 the pomelo street look like a fairy tale but you all know that you should not eat those fruit on the floor. (except chestnut and ginko of course!) 
9.30 the puppies look like they gonna jump into fire! and her grandma giggle is adorable! 
9.48 you can see all the love in there","我最喜欢这一集！尤其是当她去遮盖奶奶耳大声笑时。在春节快乐，祝您和您的祖母！

您可能会想念小的可爱细节的场景
0.42当她破裂栗子和小狗时，试图偷走它。好球！
3.33我想每个厨师都想得到那个木制成分托盘！
5.55当他们打开爆米花锅时
8.47 Pomelo Street看起来像个童话，但大家都知道您不应该在地板上吃那些水果。 （当然除了栗子和银杏！）
9.30幼犬看起来像是要跳火了！她奶奶咯咯笑！
9.48您可以看到所有的爱"
40031,UgzMvCFdMpgmIXk97eZ4AaABAg,24,4 years ago,i love her relationship with her grandma,我喜欢她与祖母的关系
23258,UgzEyufNY8lG5ZuyQOZ4AaABAg,24,3 years ago,"when i was a kid, my grandma make these snacks as important festivals are coming, especiallty in chinese spring festival.",当我还是个孩子的时候，我的祖母将这些小吃随着重要的节日即将到来，特别是在中国春节中。
51678,UgyNaIpO8VnwyflZDM14AaABAg,24,4 years ago,"open the video, i saw ziyi again. you are a great girl! find your own fun in your life! doing something is the tao, what do you have, you can be too grocery store. i hope you will introduce you to the cooking techniques for us for a year! i wish you a happy and happy grandma!",打开视频， 我又见到子柒了。你是一个很了不起慨女孩子! 在生活里面找寻自己慨乐趣! 做起事来头头是道， 你有什么事情难道你， 你可以太杂货店了。希望你你来 一年 介绍你多啲烹饪技术给我们睇! 祝你和奶奶幸福 快乐!
39461,UgzDFW01sBri2XKcPpR4AaABAg,23,4 years ago,"may you and your grandma live a long life. 
by the way, can i come and stay with you ladies for a few days??","愿您和您的奶奶过着长寿。
顺便说一句，我可以和女士们一起住几天吗？"
24249,Ugw8wMb6QqIMf_hQVI14AaABAg,22,3 years ago (edited),5:54 when she ran towards grandma to cover her grandma's ears but covered hers instead ๐คฃ๐คฃ,5:54当她跑向奶奶遮住奶奶的耳朵时，遮盖了她的耳朵
16529,UgwndTs4wucNgNjt5x94AaABAg.98eO-d8XaSd98uH5OVgzNP,22,3 years ago,"@wuxh2708 her mother was dead when she was young!! she was with a cruel step mother! her dad and grand parents were good cooks! her dad cooks allot in the village for almost all the occasions that way she learned alot of recepies from grand parents amd her dad!! she worked various jobs! she wanted to do new things but almost failed in lot of stuff! she got to return to back home, her village upon hearing that her grandma health when was not good and somone needed day and night to take care!! so that struck a thought in her mind to do something and at the same time be with her grandma! her grand parents own some land in mountains so she started what her legacy was cooking, farming, chinese art, etc!!being worked as a dj people say that experience helped her to add music, edit videos while she filmed all her videos on own very early days! her videos initially were posted only in chinese video sharing platforms! when she got good recognition in those platforms for her all the skills she started youtube!! she hired a crew of 3 people who take care of shooting, editing, posting!! all these efforts and dedication made her a massive hit today! some section of people unable to digest her success called her actor, fake, and also few said she is not chinese!! at that time she released a few seconds video saying she belongs to china and she is chinese!! nothing altered her to date!! she is the same loving, caring person!! i just shared what i came to know about her thru many sources!!",@wuxh2708她的母亲小时候死了！她和一个残酷的继母在一起！她的父亲和大父母是好厨师！她的父亲几乎在所有场合都在村子里烹饪分配，从而从父母那里学到了很多回忆！她从事各种工作！她想做新事物，但几乎失败了！她得知她的祖母健康不好，白天和黑夜都需要照顾时，她必须回到家中，她的祖母健康！！这样一来，她就想到了做某事，同时与她的祖母在一起！她的祖父母在山上拥有一些土地，因此她开始了自己的遗产是烹饪，耕种，中国艺术等！被当作DJ的人说，这种经验有助于她添加音乐，编辑视频，而她独自拍摄了所有视频很早！她的视频最初仅发布在中国视频共享平台上！当她在这些平台上为自己的所有技能获得良好的认可时，她就开始了YouTube！她雇用了3个照顾射击，编辑，发布的船员！所有这些努力和奉献精神使她今天受到了巨大的打击！一部分无法消化她的成功，称她的演员是假的，而且很少有人说她不是中国人！那时，她发布了几秒钟的视频，说她属于中国，她是中国人！到目前为止，没有什么改变她！她是同样的爱心，有爱心的人！我刚刚分享了我对她的了解，这是通过许多来源！！
35035,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vEbgXfm7j8,22,4 years ago,"@petphotomaster she only has a cameramen and the rest is all her, she lives like this because her grandma isn't able to do the work at the farm anymore.
obviously she doesn't do everything by herself but the thing she does in the videos is all her and because she wants or needs to","@petphotomaster她只有一个摄影师，其余的就是她，她这样的生活是因为她的祖母再也无法在农场做这项工作了。
显然她没有自己做所有事情，但是她在视频中所做的就是她，因为她想要或需要"
32684,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF08w18LKkUIzs,22,4 years ago,100% loving her grandma,100％爱她的奶奶
35034,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vEbIjcxPM5,22,4 years ago (edited),"@therewasnochill8997 she has actually had those opportunities, she used to live in the bigger city but when her grandpa got sick and her grandma had fallen ill she decided to go back to the countryside to take care of the farm and do work for her family",@thenwasnochill8997她实际上有这些机会，她曾经住在更大的城市，但是当她的爷爷生病了，祖母生病了，她决定回到乡村照顾农场，并为家人工作
17450,UgxuDDrKj40WLPE1LQl4AaABAg,20,3 years ago,"to be so blessed to have a grandchild like liziqi, the grandma is so lucky to be taken care of so sweetly.",很幸运能拥有像利兹奇这样的孙子，祖母很幸运能够得到如此甜蜜的照顾。
48328,UgwjnoLPQOCktxwMZlB4AaABAg,19,4 years ago,"those puppies are so cute! and maybe it's just me being sentimental but i teared up when you covered your grandma's ears, that was so beautiful.",那些小狗真可爱！也许只是我很感性，但是当您遮住奶奶的耳朵时，我撕裂了，那真是太漂亮了。
3727,UgzrDXcBlYmPtt0lsHB4AaABAg,17,1 year ago,i remembered that my grandma used cook these sugar coated snacks in village and used to send us the snacks they were very delicious she does that every month,我记得我奶奶在村里用这些糖涂的小吃，用来给我们发送小吃，他们每个月都很美味
6246,UgyfvAs8v50Q9qktIkx4AaABAg,17,2 years ago,"thank you ziyi! after watching the video, get healing, and you can face the new week tomorrow. may you, grandma, family members are good. bleak",谢谢子柒! 看完影片，得到疗愈，明天又可以好好面对新的一周。愿妳，奶奶，家人都好。
40282,UgyYps7g7DuzTztoh3x4AaABAg,17,4 years ago,her and her grandma are so lucky to have each other,她和她的奶奶很幸运能彼此
2054,UgxKuXO04jUL3t_QBnd4AaABAg,16,1 year ago,"this is the first video that i've seen from lizqi back in 2020 if i not mistaken..it really amazed me, and i've been her fans since that..what a talent you had girl. may god bless you and your grandma with good health throughout this year and advance.",这是我在2020年从Lizqi看过的第一部视频，如果我没有误会。愿上帝保佑您和您的祖母在今年健康状况良好，并进步。
22768,UgzMQ4PcBS2hs1HUXpV4AaABAg,16,3 years ago,she used to be a dj until she decided to live with her grandma and give up her messy life,她曾经是DJ，直到决定与祖母住在一起并放弃凌乱的生活
36642,UgxllgTo3DcZnOuXpVt4AaABAg,16,4 years ago,her and her grandma has such a good relationship ;_;,她和她的祖母有很好的关系； _;
30840,Ugz-8cZdnbmGjC3sxpx4AaABAg,15,3 years ago,iโ€m chinese and i live in canada now i miss my grandma.she does the same thing,我是中国人，现在我住在加拿大，现在我想念我的祖母。她做同样的事情
32354,UgzJjoNh95w-gpe6dch4AaABAg.8vuWgu4W6ZM8w6FyK4NsvB,15,4 years ago,no you have to bring her grandma too,不，你也必须带她的祖母
20024,UgyTKthvkpOdrWNAnuB4AaABAg,15,3 years ago,"i think her grandma enjoys watching her at work, it probably brings back memory when she to was young and vibrant!!๐",我认为她的奶奶喜欢看着她在工作中，这可能会带来她年轻而充满活力的时候的记忆！
12958,Ugzcjv9D9FkmS7YC1Ll4AaABAg,15,2 years ago,"video is so refreshing 
you are my inspiration 
grandma is so lucky that she gots beautiful granddaughter ..

these videos are totally different from other","视频是如此令人耳目一新
你是我的灵感
奶奶很幸运，她得到了美丽的孙女。

这些视频与其他视频完全不同。"
32352,UgzJjoNh95w-gpe6dch4AaABAg.8vuWgu4W6ZM8w5MNkzuTr8,14,4 years ago,"lutenant bladey , aaaw you're right. guys let her stay with her grandma ๐ช",Lutenant Bladey，Aaaw，您是对的。伙计们让她和祖母在一起
15456,UgxNgZDH5Rch2-Cq8DZ4AaABAg,14,3 years ago,the environment and everything remind me of my childhood in my grandma's house. they have the same vibes.. i hope i can go there again (｡ŏ﹏ŏ),环境和一切使我想起了我在奶奶家中的童年。他们有相同的共鸣。我希望我可以再次去那里（｡ŏ﹏ŏ）
17269,Ugxi5iU8REs8p8j01Dh4AaABAg,13,3 years ago,so cute! when the qiqi mango roll was given to grandma! little milk dog wants to eat egg rolls!,太可爱了！七七拿芒果卷给奶奶的时候！小奶狗想吃蛋卷！
3843,UgzpAkgDOp6JyzWTb9h4AaABAg,13,1 year ago,i love how sweet and caring you are to your grandma ❤,我爱你对奶奶的甜蜜和关怀❤
23245,UgzmlH9vSetAGemasYd4AaABAg,12,3 years ago,"as soon as the popcorn machine showed up, i knew that the audience was high -energy, but grandma was nothing, xiao qi scared himself.",爆米花机一露面，我就知道全场高能出现了，奶奶倒是没什么，小七倒是自己给吓到了
9184,UgzfoBX6awgjR5pkPBZ4AaABAg.9HbSlE6g8JG9Hf7Hn5Kpaq,12,2 years ago,it was so cute she love her grandma,太可爱了，她爱她的奶奶
48720,UgxG1NnEvR0e-Iqjam54AaABAg,12,4 years ago,i absolutely love this channel i first found her through facebook and kept searching and finally found her channel! so much amazing food and such a hard working girl that loves her grandmother!!! also does anyone notice that the grandma has cute little ears on her hat!!!!!,我绝对喜欢这个频道，我首先通过Facebook找到了她，并一直在搜索并终于找到了她的频道！如此多的美食和如此努力的女孩，爱她的祖母！！！还有人注意到奶奶的帽子上有可爱的小耳朵！
26998,Ugw91qCHqH9O7yiFqPd4AaABAg,12,3 years ago,"peaceful land vs. overstimulated city. this kind of things makes value those litle moments, sunrises, good food and company. bring my grandma back to life and share this kind of journey with her, would be the most priceless experience. if you read this comment, wish you the most beautiful trip to the happiness.",和平土地与过度刺激的城市。这种事情使那些散布的时刻，日出，美食和公司都珍视。将我的祖母重新栩栩如生，与她分享这种旅程，这将是最无价的经历。如果您阅读此评论，请祝您幸福的最美丽之旅。
