,cid,votes,time,含omg,含omg中文翻译
15222,UgyHTBxfbnOo063npyt4AaABAg.99n1nHDQ78n9AWjHnOlbAV,1,2 years ago,omg best description ever,OMG有史以来最好的描述
13713,Ugzs1-10er-bB--phXt4AaABAg,1,2 years ago,"omg what a beautiful life, that place where u live with all the fruits is so beautiful ❤️",天哪
41303,UgxWPZ8cTgPp-cjJbXd4AaABAg,0,4 years ago,"omgoodness i love this channel, soo awesome",天哪，我喜欢这个频道，太棒了
39449,Ugz5mksko7GDsq7Axk54AaABAg,0,4 years ago,omg! i want to marry you!,我的天啊！我想和你结婚！
3068,Ugw7EiPSwMELv_aGfix4AaABAg,0,1 year ago,omg. good❤,我的天啊。好
39207,Ugx2vibNU6g-bnMKWot4AaABAg,0,4 years ago,the baby sheep was following her omggh,婴儿绵羊正在跟随她的omggh
51354,Ugw2C3pN2KO01bq79_d4AaABAg,0,4 years ago,omg nt getting words,omg nt得到单词
39214,UgxatM3AugiSHlLes114AaABAg,0,4 years ago,omg can i find a future wife like her๐,天哪，我可以找到像Her
39294,UgwpA6ZhIbOof6eq53d4AaABAg,0,4 years ago,omg like she is an angle and the place looks like heaven. sunflower seeds i love kuaci my all time favourite. and the way she cook was so simple and easy. i always wonder how they dry the mango now i know. thanks for sharing this wonderful video.,天哪，她是一个角度，这个地方看起来像天堂。葵花籽我爱kuaci我一直以来最喜欢的。她做饭的方式是如此简单和简单。我总是想知道他们现在知道它们如何干燥芒果。感谢您分享这个精彩的视频。
51345,UgyR4wkLYEEYwMXSwnh4AaABAg,0,4 years ago (edited),"what a great video, also could anyone tell me the name of the song at 5:16?
edit: omg i knew it,it was from digimon adventure all along ( shouri zen no theme ), props to editor for the great taste!!","多么棒的视频，还有人在5:16告诉我这首歌的名字吗？
编辑：天哪，我知道，它一直来自Digimon Adventure（Shouri Zen no Thewe），向编辑提供了良好的口味！！"
51311,Ugz9beDrbTnbqmkPm1l4AaABAg,0,4 years ago,"omg! i know this music, i've played this game and cried in the end :(",我的天啊！我知道这部音乐，我玩了这个游戏，最后哭了:(
39434,UgyY8wlLqgW7Bua_JCF4AaABAg,0,4 years ago,omg. i really love it.,我的天啊。我很喜欢。
39494,Ugz_tiVXAVp992E4xk94AaABAg,0,4 years ago,what organized people omg,什么组织的人OMG
41028,UgyqoIZ4xCNTBkJY0t54AaABAg,0,4 years ago,"omg she's sooo beautiful, her beauty contrasts perfectly with the nature",天哪，她真漂亮，她的美丽与大自然形成鲜明对比
41464,UgypdfBRLw8cIS7ntYp4AaABAg,0,4 years ago,omg.. real angel,OMG ..真正的天使
39566,Ugzw18HMEVa8xtfMYeJ4AaABAg,0,4 years ago,omg!!i love her!!such a one in a million!!!!,天哪！我爱她！这是一百万中的那个！！！
49785,UgzneS2qA-K0JuIZmkh4AaABAg,0,4 years ago,omg this was a 10min video. finally!!,天哪，这是一个10分钟的视频。终于!!
50857,Ugw8tg4MphGv2ruzJoZ4AaABAg,0,4 years ago,omg..just speechless,天哪，无语
40022,UgxwHSCvaPFB2ClGhAB4AaABAg,0,4 years ago,omg,OMG
51093,UgyQfMep0xcC2XcTOoV4AaABAg,0,4 years ago,omg l can't believe that this paradis on earth lm very interested when i wach your videos i love you so much and i from the iraq,omg l不敢相信，当我掌握你的视频时，地球上的这个天堂非常感兴趣，我非常爱你，我来自伊拉克
3323,Ugx_Mn6C_7T6nzziz_14AaABAg,0,1 year ago,omg 102m view,OMG 102m视图
50954,UgyScwTUYJdiG9D3OEx4AaABAg,0,4 years ago,omg ur work is pricelesss.....pliz upload frequently we have learnt a lot from u...,OMG您的工作是无价的..... Pliz经常上传我们从您那里学到了很多...
40848,UgxSKpOnEcM80YMl2cp4AaABAg,0,4 years ago,"omg the puppies is so cute
","天哪，小狗是如此可爱
"
40900,Ugxpwk4_xQJPVlZpQZd4AaABAg,0,4 years ago,omg how beautiful to see all that food and the preparation! do you take interns? would love to help!,天哪，看到所有食物和准备工作真是太美了！你会带实习生吗？很想帮忙！
41346,UgwqJfTS6kFf3HnLDI54AaABAg,0,4 years ago,omg,天哪
47741,UgwXjd2pqFXRSII7lT54AaABAg,0,4 years ago,omg......she have best so cute....,天哪......她最可爱....
3418,UgzMc0Lj9BcX3I4S4vZ4AaABAg,0,1 year ago,omg 101 millon views,OMG 101 Millon Views
38932,UgyWbgNsCr-JXHlTH0V4AaABAg,0,4 years ago (edited),omg ๐ what a miracle place ๐’–๐’–๐’–๐ and a beautiful and strong woman ๐,天哪
37358,UgxEazUu7NAoPAxGznB4AaABAg,0,4 years ago,omg!!!where is this place.. i want to live there..,天哪！！！这个地方在哪里..我想住在那里..
36608,UgwVDioueQWuIzyffgp4AaABAg,0,4 years ago (edited),in some point ur look like mina on twice omg!,在某个时候，您的两次OMG看起来像Mina！
36640,UgyZeQEjN7SAYU5k19J4AaABAg,0,4 years ago,she's like a fucking ancient saint that lived on earth 1000s of years ago omg,她就像一个他妈的古老的圣人，居住在1000年前的地球上
36704,UgxS28-Geq1JJ9ZYIal4AaABAg,0,4 years ago,i want to live there omg.. i want to be her sister,我想住在那里..我想成为她的妹妹
52647,UgwQd_AY89-8EbJBVfh4AaABAg,0,4 years ago,omg your so cuteee,天哪，你如此可爱
52534,Ugzw9b4mO1gXzJwIkRB4AaABAg,0,4 years ago,"omg what a beautiful video , such a hardworking lady .",天哪，多么漂亮的视频，如此勤奋的女士。
52436,Ugz5KKL4elOk1Mzh1UZ4AaABAg,0,4 years ago,omg forever waiting,天哪，永远等待
52365,UgxT2RDGlMBtHeLQFpp4AaABAg,0,4 years ago (edited),omg finally u r back. i was waiting fr me u r worlds most beautiful,OMG终于回来了。我在等我的世界最美丽
3721,UgwmGu_gJfoJIIWm4Ft4AaABAg,0,1 year ago,omg cute puppies,天哪可爱的小狗
3661,Ugx9NJrh87YzTNq-zeR4AaABAg,0,1 year ago,100 million views omg congratulations!!!,1亿次观看omg恭喜！！！
52357,UgwpgeXG6EOt2Yap2jp4AaABAg,0,4 years ago,omg i love sunflower seeds ❤❤,天哪，我爱向日葵种子❤❤
52343,Ugxa_JBjIaQl21WUgiJ4AaABAg,0,4 years ago,omg. digimon adventure ost!!,我的天啊。 Digimon冒险OST !!
36788,UgwRFo-eaYSHbYMC5yR4AaABAg.8uPQ7pNVLHx9-AnCw90nFq,0,3 years ago,"omg. your comment reminds me of that game. hahaha..the festival, 4 seasons, the calm music and everything !. reminiscing the child hood day with the ps2/1. hope to play that game again in android version.",我的天啊。您的评论使我想起了那场比赛。哈哈哈..节日，四个季节，平静的音乐和一切！用PS2/1回忆起儿童罩日。希望能在Android版本中再次玩该游戏。
3649,UgzvlpCjaihNU4loqvV4AaABAg,0,1 year ago,omg! 100million views,我的天啊！ 1亿次观看
51554,Ugwypj3cjYBocoM6VvZ4AaABAg,0,4 years ago,"omg... so loveee your video, your amazing thank you for great movies.... ❤",天哪...所以爱你的视频，非常感谢您的电影....❤
37398,Ugwwq3XSkCz3Oxxu8Rt4AaABAg,0,4 years ago,"omg, can you put our a ricipe book please??",天哪，你能把我们的ricipe书放在吗？
38845,UgzHjQ1aI3fV0CIpqLd4AaABAg,0,4 years ago,running to cover her grandma ears... omg. she threw away the corn and ran to her. so cute,跑步以遮住奶奶的耳朵...天哪。她扔掉玉米，跑向她。太可爱了
37432,UgzVZKWPA85yxMQsY4F4AaABAg,0,4 years ago,17m be omg ~~,17m是omg ~~
37644,Ugy38Jz1dI9Xg5Nq-pl4AaABAg,0,4 years ago,"omg - apple, candy , meat ...good !!!",天哪 - 苹果，糖果，肉...好！！！
51416,UgwoUUQ0x_liRQ3UV1h4AaABAg,0,4 years ago,"super 
omg u r genius","超级
天才"
37670,Ugyw19R7w0SYlyKQb7V4AaABAg,0,4 years ago,"i just found this channel, and immediately fall in love. everything's so perfect here omg. auto being this subscriber",我刚刚找到了这个频道，立即坠入爱河。 OMG一切都很完美。自动是这个订户
3647,Ugy8_HNyRXjLaEIjp4l4AaABAg,0,1 year ago,hi omg i love your vidoes i hope you and your grandma have an amazing time!!! love you,嗨，天哪，我爱你的视频，希望你和你的祖母度过了愉快的时光！！！爱你
38105,UgwBp9cWUiiQtaWLoh94AaABAg,0,4 years ago,the sheep disappeared by the end of the video..... and they eat dogs....omg ๐ญ,绵羊在视频结束时消失了.....他们吃狗。
38249,UgyEZwPc45PzGT_iwpN4AaABAg,0,4 years ago,omg! i stumbled into your videos! you are amazing!,我的天啊！我偶然发现了你的视频！你很棒！
38252,Ugy9S7sPx9iGlx-h3Jd4AaABAg,0,4 years ago,omg who else thinks the dogs are so cute,天哪，还有谁认为狗是如此可爱
38287,UgxOTPC998KzgFgV49V4AaABAg,0,4 years ago,omg i wish i could visit there,天哪，我希望我可以去那里
38434,UgxmokcGSGvuZfto_dd4AaABAg,0,4 years ago (edited),that mango is huge omg๐ฑ๐ฑ๐ฑ,那个芒果是巨大的omg
38457,UgzfrfznSZKGAqFrBKh4AaABAg,0,4 years ago,"omg ๐ฎ iโ€m in love ๐ w this videos. what is, wonder woman? sheโ€s amazing ๐ and i have a question, does she do all that cooking and other stuff for herself and her granny or to sell??? sheโ€s wonderful. how old is she and does she live in china ๐จ๐ณ?",OMG
49467,Ugz78Z3m-zm3ppWBSDF4AaABAg,0,4 years ago,omg.. wonderful life.. happy new year,天哪..美好的生活..新年快乐
38680,UgzqTTnzNFhvTEDVRN14AaABAg,0,4 years ago (edited),"omg guys do you know that she make videos by herself? 
check this out https://youtu.be/3rgkrjkrhto
she is so incredibly amazing, i salute u li ziqi, you are amazing ๐’–๐
my respect for you raised more. love ya","天哪，你知道她自己制作视频吗？
查看此内容https://youtu.be/3rgkrjkrhto
她真是太神奇了，我向你致敬，你很棒，你真了不起。
我对你的尊重更多。爱你"
38768,UgzIc2L1OSqKQZDnnXh4AaABAg,0,4 years ago,omg i'm so hungry now for snacks. .. ๐,天哪，我现在很渴望小吃。 ..
49681,UgwuED_vsO-mn7q2eKl4AaABAg,0,4 years ago,omg the puppies and the baby lamb following her at the start was adorable tho,天哪，幼犬和婴儿羔羊一开始就很可爱
48932,Ugw5H5irIt-y5Jc0QpR4AaABAg,0,4 years ago,omg looks so simple to do...but it is not..amazing girl...,OMG看起来很简单...但是不是..杰出的女孩...
41905,UgxnMSyvh0ywHDPkp054AaABAg,0,4 years ago,"omg i want to live with her at least for 2 weeks and share her lifestyle, it's so beautiful",天哪，我想和她一起生活2周，分享她的生活方式，真是太美了
2928,UgxYTkwj-qHJ9aamywh4AaABAg,0,1 year ago,omg...the way she sliced them mangoes....yum,天哪...她将它们切成芒果的方式....
44692,Ugy2lFmc5-sxwara5il4AaABAg,0,4 years ago,omg looks like film.amazing❤️❤️❤️,OMG看起来像电影。
44781,UgzvDmhVo06F52r_w214AaABAg,0,4 years ago,thats a so cute video omg i love it❤,那是一个如此可爱的视频，我喜欢它
48360,UgwG-kdF-dnBwh3ECOV4AaABAg.8qn6BhAapWX8qq9yqIxWzW,0,4 years ago,"chiquitita2004 omg,do you thinking what i'm thinkg",chiquitita2004 omg，你在想我想什么吗
45021,UgyrWvP0JBwro-jIC754AaABAg,0,4 years ago,omg... puppy,天哪...小狗
45130,UgxS_59DqAAin-J4WO14AaABAg,0,4 years ago,omg i wanna go there,天哪，我想去那里
45191,Ugwjp24kFT68jxOdzBZ4AaABAg,0,4 years ago,"omg i just found your video, its so good , its like to see a normal life in movie!!!",天哪，我刚刚找到了您的视频，真是太好了，就像看到电影中的正常生活！！！
45226,UgwpVTA5Vy9sGPo1amN4AaABAg,0,4 years ago,omg that grandma in the hat with the cat ears can you just kill me now,天哪，戴着猫耳朵戴着帽子的奶奶你现在可以杀了我
45345,UgwMAOl5qRbmZRGQ6qt4AaABAg,0,4 years ago,"this looks like it came from a movie.
its so well made omg","看起来它来自电影。
它做得很好"
45371,UgypgVIJhGE-XyO3cPV4AaABAg,0,4 years ago,omg i want i'm hungry,天哪，我想要我饿
45385,UgxK3vL35RQnqB7BkzZ4AaABAg,0,4 years ago,all the new year snacks omg,所有新年小吃OMG
45677,Ugynvc68n4s9MSF26vV4AaABAg,0,4 years ago,she's literally an angel..... omg,她实际上是一个天使..... OMG
45723,Ugx5mq112ndIXn0qJct4AaABAg,0,4 years ago,omg,天哪，我无语
45937,Ugwho6lYJm6WnBLz-bN4AaABAg,0,4 years ago,omg i just love the ambiance of where you cook and live amazing in every way great job,天哪，我只是喜欢您烹饪的氛围
46043,UgxFaIQpbiHE7JioWxp4AaABAg,0,4 years ago,omg the dogs,天哪，狗
46460,Ugx3xkI2JGadhTYqM0Z4AaABAg.8qtsXGZE2XC8r5VBfZJ6Jq,0,4 years ago,@sunwukong2959 omg u r so intelligent,@sunwukong2959 omg u u rsointement
46461,Ugx3xkI2JGadhTYqM0Z4AaABAg.8qtsXGZE2XC8r5WSsz4h7L,0,4 years ago (edited),"@piyalikhan
omg u r so naive","@piyalikhan
天真"
850,Ugw0EhIu7io-EJfLvS94AaABAg,0,6 months ago,omg,我的天啊
46482,UgznZcBxbXqbv3qqUCN4AaABAg,0,4 years ago,"love this ...was the cooking skills self taught or through school..omg shes amazing, she will get many blessings from grandma",爱这个...是自学或通过学校的烹饪技巧。
46702,Ugw4M2CwwIJOnk_gWVB4AaABAg,0,4 years ago (edited),wow nice do you know how to make those stuff no way omg you are really good at this and you have a good skill its that a popcorn,哇，你知道如何做这些东西，不要让你真的很擅长，而且你拥有一项富有爆米花的技能
47201,UgyHcBOUWKlNvTT17md4AaABAg,0,4 years ago,omg she's like a disney princess w/ her little animals!,天哪，她就像迪斯尼公主，有她的小动物！
47269,UgzhgUg9IPPHtiWJPVF4AaABAg,0,4 years ago,omg i love eating those chestnut especially when you roast it,天哪，我喜欢吃那些栗子，尤其是当你烤
47359,UgzYZMgJAINkwqGpVAV4AaABAg,0,4 years ago,"even making popcorns is fun! omg, i wish i had a lifestyle like that ❣",即使制作爆米花也很有趣！天哪，我希望我有这样的生活方式❣
48167,Ugxz9evrgmkXHGpXEah4AaABAg,0,4 years ago,omg i love it,天哪，我喜欢它
47366,Ugx3csY48TzLH4E60Ul4AaABAg,0,4 years ago,she's so pretty.. omg,她真漂亮..天哪
48081,Ugwv_t4kDD5TOQq8J0N4AaABAg,0,4 years ago,omg!! love u li love soooooo much.......always a trat to watch uuuuuuuuuuuuuuu,我的天啊！！ Love u Li Love soooooo sooooo .......总是一个观看uuuuuuuuuuuuuuuuuuuuuuuuuuuuuu sooooo。
47370,Ugy_nQL820Pxj8UhMwR4AaABAg,0,4 years ago,omg the sub titles for us english speakers is so amazing i know what’s going on now! thank you so much. :),OMG，我们的英语说话者的子标题真是太神奇了，我知道现在发生了什么！太感谢了。 :)
47377,UgwaTcI2zUaeZCvXZ-h4AaABAg,0,4 years ago,omg ❤❤❤,OMG❤❤❤
47449,Ugws6QeCjma39p_u2594AaABAg,0,4 years ago,omg i love herrrrrrrrr,天哪，我爱Herrrrrrrrr
47609,Ugxtik78wHH5T10R0q14AaABAg,0,4 years ago,omg i am in love,天哪，我在恋爱中
44665,Ugw3wvDu9RkefcwbfgB4AaABAg,0,4 years ago,omg that sheep is skool cute! does it have a name?,天哪，绵羊很可爱！它有名字吗？
44618,UgzHhjYdYpkoeeiCOu54AaABAg,0,4 years ago,omg how this is cute,天哪，这是怎么可爱的
48422,UgxW7v6s0lWuafAdCtN4AaABAg,0,4 years ago,omg!,我的天啊！
43525,Ugxx6LWh3fLY7sHWUWt4AaABAg,0,4 years ago,omg the cute pups and lamb following,天哪，可爱的幼崽和羔羊跟随
42085,UgwLV3Wm9IWHrhAw6dd4AaABAg,0,4 years ago,omg which place is this? so lovely... i want to go thr..,天哪，这是哪个地方？太可爱了...我想去。
49207,Ugw80U80AHts-ZGaerZ4AaABAg,0,4 years ago,so happiness omg,幸福，天哪
42096,UgxC4DeXloh2_0eMSuJ4AaABAg,0,4 years ago,lol the stone furnace/oven looks like a cat ! haha omg so cool,大声笑的石炉/烤箱看起来像猫！哈哈，好酷
49093,UgzUhmHy67SLBt3zGvB4AaABAg,0,4 years ago,"omg! you make everything look so delicious, i wish i was a neighbor.",我的天啊！您让一切看起来都很好吃，我希望我是邻居。
47783,Ugyd0-Y85mjz8lK57fF4AaABAg,0,4 years ago,omg that mango looks sooooooo yummy!!!!!!!!! 3:12,天哪，芒果看起来太好吃了！ 3:12
42429,UgzL3n8rg82Agwidprt4AaABAg,0,4 years ago,omg you're amazing tbh !!!!!!!,天哪，你很棒的tbh !!!!!!!
42523,UgzA0Pi1jwX5pUNemQt4AaABAg,0,4 years ago,omg... i feel running and coming to u,天哪...我感到奔跑，来找你
48834,UgwIPs9H7PQ3J2ZfIhV4AaABAg.8qmQDmuPUNP8qmiKXQhB7J,0,4 years ago,"@fenderfanderwell2853 omg, even her back story sounds staged! youtube is banned in china, and her content would be full of very negative comments unless the chinese government were in on it. the chinese government pays people to scavenge youtube for chinese content that left their country, and while they cannot ban channels, they have accounts created specifically to troll unauthorized chinese youtube accounts. also, historically there is a lot of chinese propaganda about the ""perfection"" of chinese farming, and food related cultural practices, especially pertaining to women. it's been like that for decades, if not hundreds of years before digital media existed. this channel is still entertaining stuff though... one of my favorites for its perfectionist quality. highly staged, but nevertheless entertaining.",@Fenderfanderwell2853 OMG，甚至她的背景故事听起来都上演了！ YouTube在中国被禁止，除非中国政府加入其中，否则她的内容将充满负面评论。中国政府向人们付费，以清除YouTube，以获取离开国家的中国内容，尽管他们无法禁止渠道，但他们的帐户专门用于巨魔未经授权的中国YouTube帐户。同样，从历史上看，关于中国农业的“完美”以及与食品相关的文化习俗，尤其是与妇女有关的文化习俗，还有很多宣传。几十年来，即使不是数百年，在数字媒体存在之前就已经存在了数十年。不过，这个频道仍在有趣的东西……我最喜欢的完美主义者质量之一。高度上演，但是很有趣。
42576,Ugx-02gOOH7a6HsSGFJ4AaABAg,0,4 years ago,omg the tiny puppies and goat at the beggin,天哪，小幼犬和山羊在乞gin
42915,UgyBMBRWEhcrPP4As8h4AaABAg,0,4 years ago,omg!!where do you live,天哪！你住在哪里？我想去那里……我真的很喜欢它。
43050,UgwOVquPTe43lnxXZ7B4AaABAg,0,4 years ago,omg. . everything is available in this place. .looks like heaven,我的天啊。 。一切都在这个地方可用。看起来像天堂
43084,Ugz0yVVg2CnsgdQmx2N4AaABAg,0,4 years ago,omg. marry me,我的天啊。嫁给我
43099,UgxlJKYCt6lqZFjKq9N4AaABAg,0,4 years ago,omg!sooo delicious.....love it.ilove all your videos...,天哪！太美味.....喜欢它。
43895,Ugwga5aLxzOH20P3yz14AaABAg,0,4 years ago,omg the hd!!,天哪，高清！
44600,Ugz5QSVD8i1QjIqnGfF4AaABAg,0,4 years ago,the sounds of this video are so god omg,这个视频的声音是如此的上帝omg
43945,UgwEo0l-p5Nn7qw8h2d4AaABAg,0,4 years ago,she’s like a character of a chinese drama omg,她就像中国戏剧的角色OMG
43962,UgzraHUlv3XY_-NoiIt4AaABAg,0,4 years ago,omg the puppies,天哪
43974,Ugyj77SBcz_fgJUGfoN4AaABAg,0,4 years ago,omg! she is amazing,我的天啊！她很棒
48774,Ugz6NpJzrSgP_DO7uIt4AaABAg,0,4 years ago,omg i would definitely go there on vacation!,天哪，我一定会去那里度假！
44013,UgxHYgdbjmc2gcSaL-F4AaABAg,0,4 years ago,"5:57 omg, so cutieeeeeee :3",5:57 OMG，所以Cutieeeeee：3
44195,UgzhIDYJ1VQdAsBwZYR4AaABAg,0,4 years ago,omg the nugat candy,天哪，Nugat糖果
44197,Ugx3PHwW4DlDT6iHv7N4AaABAg,0,4 years ago,omggg fruitss,omggg水果
44331,UgwDBqFm7clL48FmbeR4AaABAg,0,4 years ago,omg i love the sheep,天哪，我爱绵羊
44472,UgzNJ25j9GXnESvmFJN4AaABAg,0,4 years ago,"omg, i love your video",天哪，我爱你的视频
36532,Ugx13iPw1lXbyoRicY54AaABAg,0,4 years ago,omg..she works so hard but cn see any stress on her face,OMG ..她的工作很努力，但是CN看到她的脸上有任何压力
44514,UgyjG_6UCE-eXXRGDJJ4AaABAg,0,4 years ago,omg it's my first time to see a seedless mango,天哪，这是我第一次看到一个无种子​​芒果
48470,UgzlCA7L-bsx6_FrQD54AaABAg,0,4 years ago,so many delicious things in this video omg.,在此视频中，这么多美味的东西。
44576,UgzzW_cueLFJqQ6A7pd4AaABAg,0,4 years ago,omg the dogs and sheep i’m crying,天哪，狗和绵羊我在哭
16351,UgzzGS3Fpxdf1_EgqBh4AaABAg,0,3 years ago,"omg that place is a haven, god blessed them",天哪，这个地方是一个避风港，上帝祝福他们
34393,UgyWWOxbQVPJ0S2TTFl4AaABAg,0,4 years ago,omg seriously so productive and her creativity os amaginggggg isn't she tired at all,OMG非常生产力和她的创造力OS Amagggg，她一点都不累
36348,UgxY2R5VvNW95fx7bgZ4AaABAg,0,4 years ago (edited),"omg i'm going to have to try making this snowflake crisp stuff, it looks so good!!",天哪，我将不得不尝试制作这种雪花清脆的东西，看起来很好！
23820,Ugyjz4dfzhMdGevWklJ4AaABAg,0,3 years ago,omg amazing channel,OMG惊人的频道
10476,Ugx3cjaIGWo2O205L-54AaABAg,0,2 years ago,"omg , digimon song",天哪，Digimon歌曲
10598,UgwF0JkKLsjutWuSWo94AaABAg,0,2 years ago,omg,我的天啊
11452,UgyiFMbaP_l84tv9_Ox4AaABAg,0,2 years ago,omg marry meโค๏ธโค๏ธ,OMG嫁给Me❤️❤️
23882,Ugz91hr4irU3SxccKOR4AaABAg,0,3 years ago,"man y has no one wifed her up?omg she is drop dead gorgeous and could easily be a model, not to mention she can cook and do jus about anything around the house, yโ€all men in china is tripping hard bruh๐คท๐ฝโ€โ๏ธ",男人y没有人给她wif起来吗？天哪，她跌倒了华丽，很容易成为模特，更不用说她可以做饭，对房子周围的任何事情做任何事情，你们中国的所有男人都在绊倒硬bruh
12536,UgwwN8mk6kberd-DRv94AaABAg,0,2 years ago,"omg, that’s a real paradise ❤️❤️❤️",天哪，那是一个真正的天堂❤️❤️❤️
23839,UgwXVvZQLE462Z5fDmN4AaABAg.923ISAUWGmC92Aa960qpsW,0,3 years ago,"no itโ€s not egg!!!! itโ€s butter that is melt. you can see she put some marshmallows into the pot when butter melted and boiled. then you can follow her. but i think you need several times to make it. cause you need to find a balance of taste. i saw my sister doing it before. omg very delicious!!! and being creative, cookies raisins nuts fruits anything you want.",不，不是鸡蛋！！！这是融化的黄油。您会看到她在黄油融化并煮沸时将一些棉花糖放入锅中。那你可以跟随她。但是我认为您需要几次才能做到这一点。因为您需要找到味道平衡。我以前见过我姐姐这样做。天哪，非常美味！！！饼干葡萄干坚果发挥创意，果实果实任何您想要的东西。
12795,UgzaXkjuEqcGY-Oh2sR4AaABAg,0,2 years ago (edited),wow indonesian subtitles?omg i can't believe it!good job!,哇，印度尼西亚字幕？我不敢相信！干得好！
24513,Ugwn-ZCmr2iN1cg67WR4AaABAg,0,3 years ago,"37 million views, omg!",3700万观看次数，天哪！
23121,Ugzk-rcnQX81Q0NuOYZ4AaABAg,0,3 years ago,omg did she cook the lamb?,天哪，她煮了羊肉吗？
23012,Ugz9GL-J_sh54WO0Xmt4AaABAg,0,3 years ago,me at 1:41: omg you made the thing i got at china,我在1:41：天哪，你做了我在中国得到的东西
23006,UgwuVNv_BiTqTq4b47R4AaABAg,0,3 years ago,omg where did she get marshmallows? i hardly even have them!,天哪，她从哪里得到棉花糖？我什至几乎没有它们！
22987,Ugy45AXnZkgG-hKyrWF4AaABAg,0,3 years ago,omg omg. how many actually ordered mcdonald after watching this???? lol...,OMG OMG。观看此消息后，有多少人实际订购了麦当劳？？？？哈哈...
22601,UgwRhjfGNbEvQ0cWOrJ4AaABAg,0,3 years ago,omg what aah super woman,天哪，啊，超级女人
22591,UgyoSHZ-Yq1U3-oNsLR4AaABAg,0,3 years ago,omg i juz luv dis vdo๐,OMG I JUZ LUV DISVDO
24427,Ugzo78fiYk0DRutqcyZ4AaABAg,0,3 years ago,there's so many fruits... omg,有很多水果...天哪
24534,UgxDVo43cmBiie_03N94AaABAg,0,3 years ago,omg puppies ๐๐๐๐,OMG小狗
13254,Ugy0kvvVw7yEXyJApfF4AaABAg,0,2 years ago,omg she can do everything,天哪，她可以做一切
25415,UgxHnoGqfxk5wN16lwF4AaABAg.9-OcFQPIkar90eJ_muY47e,0,3 years ago,@skizhoon1153 im guessing beomgyu is your bias๐,@skizhoon1153我猜测beomgyu是你的偏见
26066,UgwLa_OT1IeDdXYXjLp4AaABAg,0,3 years ago,omg,我的天啊
25959,Ugw2Okx4YFkP4dUKbON4AaABAg,0,3 years ago,omg ๐ญ the animals following you,天哪
25915,Ugyi2z_0i8LxlH0UcNB4AaABAg,0,3 years ago,5:55 is so cute omggg,5:55是如此可爱的omggg
25795,Ugyg6pm1FQXcUUF523d4AaABAg,0,3 years ago,omg the ending was so cute,OMG结局是如此可爱
25760,UgzZ-qowKBpi9m79CRR4AaABAg,0,3 years ago,omg. apko konsi chiz h jo nhi aati,我的天啊。 apko konsi chiz h jo nhi aati
25586,Ugyrn2OPqMUcQIOBWqx4AaABAg,0,3 years ago,omg if you sold these i would buy,天哪，如果您卖这些我会买
25361,UgwRz6BM4pGy6fstYnV4AaABAg.9-Qvi_qVYSB9-gwwaR0ddz,0,3 years ago,scarmoh me too omg,Scarmoh我也是OMG
24584,UgzTkcquDw-aY9C4v6x4AaABAg,0,3 years ago,omg ฤฑ want to live with her ๐,天哪，想和她一起生活
25315,UgwUcpLvKGQOmVM1kuR4AaABAg,0,3 years ago,omg the cute little puppies,天哪，可爱的小幼犬
25197,UgwcfkdraYOGBhasmk54AaABAg,0,3 years ago,omg ๐ณ 35m views,OMG
10453,UgwuPcFSrQtF-67rlNJ4AaABAg.9G03h15g3gY9HJ9Zvh6ukk,0,2 years ago,@gorillaknuckles3976 ๐๐๐๐ why are u so offended omg grow up kiddo,@gorillaknuckles3976
24966,UgyskAJGZV_u8raWHhh4AaABAg,0,3 years ago,omg love your videos just beautiful..,天哪，您的视频很漂亮。
24810,UgzczZ5X8esZ5hFXEhV4AaABAg,0,3 years ago,omg ๐คฉ๐คฉ๐คฉ,OMG
24744,UgxvZKCrlJ69XndVCDp4AaABAg,0,3 years ago,"5:57 what? omg, so stupid you",5:57什么？天哪，你真愚蠢
22517,UgxTgFXyySIpPJGF3SR4AaABAg,0,3 years ago,omg that lamb and dogs are so cute!,天哪，羔羊和狗是如此可爱！
13375,UgzqC1OONbS90ou9qsx4AaABAg,0,2 years ago,"omg all my fav snack,, popcorn, sunflower,, candyfruit,, and also i'v been make mashmallow mix cake last week.. yummyyyy",OMG我所有的最喜欢的小吃，爆米花，向日葵，Candyfruit，也是我上周做的Mashmallow Mix Cake .. Yummyyyyy
36340,UgwClpCJIB2pM5LKBzd4AaABAg,0,4 years ago,this is insane omg,这是疯狂的OMG
17540,UgzulEYqx1KIDT35CC14AaABAg,0,3 years ago,omg awesome,天哪，很棒
17971,UgzDvK01DKLdUHKPc-54AaABAg.97SFFb4Mpvv9nLZDzBr_yC,0,2 months ago,omg you are a genius,天哪，你是个天才
17835,UgybdKCJzjpbB9lZjyl4AaABAg.97VVW4BLMWD97W4BJ9O1lJ,0,3 years ago,suraka bloom omg! i thought i was the only one! i distinctly remembered watching the popcorn part over and over because her scared reaction made me laugh and so i went to rewatch and i’m like what is this music?? then i thought maybe i somehow confused the videos or something.,Suraka Bloom OMG！我以为我是唯一的！我清楚地记得看着爆米花的一遍又一遍地，因为她害怕的反应使我发笑，所以我去了重新观看，就像这是什么音乐？然后我以为我可能会以某种方式混淆了视频之类的东西。
17788,UgwpcSK0Lr7NaTWv4yZ4AaABAg,0,3 years ago,omg so good,天哪，很好
