,cid,votes,含awesome,含awesome中文翻译
29443,UgzZzJbuNnUNCMBVlIR4AaABAg.8xjFGku-_Z_8yDJGqlymGS,15,"it is really facing, taiwan has been open to youtube, and no one who has subscribed to 3 million subscribers has not won! li ziyi, ono, and the youtube channel of the little brother in western yunnan have created it for a long time? there is almost no way to play in taiwan. the first place is higher than the little brother in western yunnan. the key is that the little brother in western yunnan also surpass him!


i really admire li ziyi and ono, one of more than 5.4 million subscribed, one is more than 7 million! they are all villagers! can the youtuber in sichuan anymore be awesome? the yam is 1 million immediately, wang gang is 930,000, and there are three cats and ao factory director in the back!","真的很打脸，台湾一直开放YouTube，上300万订阅的还一个都没得！李子柒，小野，还有滇西小哥的YouTube频道才创了好久？台湾能打的几乎都没有了，就第一名比滇西小哥高，关键是滇西小哥也要超越他了！


李子柒和小野我是真的佩服，一个540多万订阅，一个更是700多万！还都是老乡！我大四川的YouTuber能不能再牛逼点？山药马上100万，王刚93万，后面还有三猫和敖厂长也有四五十万订阅！"
3702,UgyfvU5uUvcOG9HtmJJ4AaABAg,14,"very nice video! i like the funny dog so much! i'm so happy to see ""tang hu lu"" candies i like this so much when i was in china. awesome people and things in china. thanks liziqi to remember me the great time i had in your country!",非常好的视频！我非常喜欢有趣的狗！我很高兴看到我在中国时非常喜欢的“ Tang Hu Lu”糖果。令人敬畏的人和中国的事物。感谢Liziqi记得我在您国家度过的美好时光！
19508,Ugw-LfhAQMSxFkTNOcF4AaABAg.95hQGx72lER95oA5rY8aIX,11,"@lucygo6415 hi, i understand your sentiments but isn't it awesome bec this girl right here represents them all? besides, all her videos are therapeutic. meaning, it calms our souls. it is refreshing. brings positive impact to us, viewers. so let us all be happy we've got a channel like this.",@lucygo6415嗨，我理解您的观点，但这不是很棒，因为这个女孩在这里代表了所有人吗？此外，她所有的视频都是治疗性的。意思是，它平静了我们的灵魂。令人耳目一新。观众给我们带来积极影响。因此，让我们所有人都很高兴我们有这样的频道。
49020,UgzzXNnj5QP3XnKyXux4AaABAg,9,greetings from germany. happy chinese new year! your videos are awesome. thank you.,来自德国的问候。农历新年快乐！您的视频很棒。谢谢。
51794,UgwcXgy5_5V0z9yowoR4AaABAg,8,"you are awesome, wish i had a friend like you.
my respect from vietnam.","你很棒，希望我有一个像你这样的朋友。
我对越南的尊重。"
23504,UgyQ3juM3-h-qV99kvx4AaABAg.92Kx0mL2X2q92XL2Ga6cH7,8,"the composition and fluency of the picture are all happy, and the shooting team is really awesome",画面的构图和流畅性都让人心情愉悦，拍摄团队真的牛逼
45750,UgzrPwXxBEz_OO150ON4AaABAg,8,"this is awesome vid, preparing those sweets with heart and hard work, all natural, organic...",这是很棒的vid，为那些糖果做准备的糖果，都是自然的，有机的...
49094,UgxM0eHMyMomAlAvEZp4AaABAg,8,"omg this video is cuteness overload! i love the bit where she covers grandma's ears and she jumped when all the pressure was released. she was concerned about grandma's ears even though she's scared. shows you how much she cares about her grandma. grandma was just all giggles. i've replayed that bit a few times already. annnd the bit at the end where she peeks in through the door way and pops in with the snacks. as always, thank you for these awesome videos! they're relaxing, and always puts a smile on our face. happy new year!",天哪，此视频是可爱的超载！我喜欢她覆盖奶奶耳朵的位，当所有压力都释放时，她跳了起来。即使她很害怕，她也担心奶奶的耳朵。向您展示她对祖母的关心程度。奶奶只是傻笑。我已经重播了几次。刻有钻头在她的门口偷看，然后用小吃弹出。与往常一样，谢谢您的这些很棒的视频！他们很放松，总是在我们的脸上露出微笑。新年快乐！
32679,Ugy800mmFiW5Y1YrP-N4AaABAg.8vhRnJy5uF08vpqaMDaMfo,7,wow awesome opinion,哇，很棒的意见
39820,UgzvAvqZx8xfl9V1ztN4AaABAg,7,youโ€re so awesome ms. li!!!! keep up the good work. i love watching your videos before going to sleep. they are so peaceful.,你真棒李女士!!!!保持良好的工作。我喜欢在睡觉前观看您的视频。他们是如此和平。
23125,UgxCrd6Wgq9w514CSIF4AaABAg,7,it means that woman can be strong and do anything they like! thatโ€s awesome ๐!!!,这意味着女人可以坚强并做自己喜欢的任何事情！太棒了
7806,UgzAc1B1q6wt8ywL-UZ4AaABAg,6,"wow! various snacks that are good and delicious, awesome ~",哇! 好疗愈又好美味的各种点心，真棒~
50389,UgxrNcvK42-1cPtmHa54AaABAg,6,you are just too awesome at work and your recipes are one of the best.,您的工作太棒了，食谱是最好的食谱之一。
50269,UgwVfMEHryxRZiWgoiB4AaABAg,6,i know a lot of people says this to you.. just wanna say you are an awesome woman.,我知道很多人对你说。..只是想说你是一个很棒的女人。
6576,UgzKrPZyu56NmgFW96V4AaABAg,6,"i love love love how she goes trying everything little thing, appreciating it’s awesomeness",我爱爱爱她如何尝试所有的事情，欣赏它的真棒
27568,UgxIooV2IkscIsp6OCl4AaABAg,5,mango with no seed? awesome <3 i want to live with you liziqi. i will do the fruit harvesting for you.,没有种子的芒果？很棒的<3我想和你一起生活liziqi。我将为您做水果收获。
26285,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9-TvXQRT7Rp,5,"ohh! so it was you?!..was wondering who was that awesome person,whose comment i just passed by!๐ keep going.",哦！那是你吗？！
34669,Ugz1ByJ0UmSRK08Wz7t4AaABAg,5,"this girl is awesome, skilled, kind, beautiful and adorable.",这个女孩很棒，熟练，善良，美丽且可爱。
14689,UgyHSU8sKaObb83yOBt4AaABAg,4,she is so cute and reaction is awesome... lizi r u making and selling all these stuffs.. big entrepreneur u r,她是如此可爱，反应真是太棒了... lizi r u制作和销售所有这些东西。
48558,UgxWClHAQH2IwXfdKZJ4AaABAg,4,li ziqi very awesome..preparing food so much easy for you..idol from philippines,Li Ziqi非常棒..准备好食物对您来说非常容易。
14867,UgzMK-PFulRvNYVliOR4AaABAg,4,"im huge fan of this girl!!
i've learned a lotta things that i feel awesome","我是这个女孩的忠实粉丝！
我学到了我觉得很棒的洛塔（Lotta）"
25579,Ugy20mI03-2LQTcdB3J4AaABAg,4,this is literally something straight out of an anime. your really awesome,从字面上看，这是一件直接的动漫。你真的很棒
6094,Ugy7-7XUg_03pMGLvSx4AaABAg.9MuG_7Zx7T29OqemJcCQzo,3,"watching her video is really brisk, the pastoral scenery, the mountains and rivers. hug nature and eat natural food. go to pick the fruits and vegetables you want to eat every morning. it's great to have a full sense of harvest. you are awesome. bleak",看她的视频真的心情很轻快，田园风光，山青水秀。拥抱大自然，吃的天然食物。每天早上去摘当天要吃的蔬果。有满满的收获感真好。你真棒。
5028,Ugxo6lA5lFEn5MM3-nF4AaABAg,3,literally she is very hard working and the life she lives is awesome ❤,从字面上看，她非常努力，她的生活很棒❤
28438,UgwyZnI_liIsaxjxrwR4AaABAg,3,i got her video today itself and i've already watched 2-3 till now.. such a calmness is there in her videos the things she uses give soothing feeling like her utensils... and the way she does that's no doubt awesome. big hug to her๐ค—,我今天已经得到了她的视频本身，我已经看过2-3到现在。在她的视频中，她所使用的东西有这样的平静，让您感到舒缓的感觉像她的餐具……而她的做法毫无疑问。大拥抱她
40872,UgyWB-3ZEL3p1Vwd3V14AaABAg,3,what is the name of this village? it's awesome!!! i love the china!,这个村庄的名字是什么？这很棒！！！我爱中国！
52355,UgwNneU3txo3r_cLgmF4AaABAg,3,very very awesome and hard work u have done,您已经完成了非常非常棒的辛勤工作
44829,UgyM0Xq__5E375UD0994AaABAg,3,awesome video.,很棒的视频。
4837,UgyLJhjWJOhBN1rnREZ4AaABAg,3,girl you're awesome you did a great work keep going on may your get a wonderful success,你真棒的女孩，你做了一件很棒的工作，继续进行，愿你取得奇妙的成功
32517,Ugw_2R-ouQ3OH2y104F4AaABAg,2,"you chinese people are so smart and you guys create awesome things. i respect that ๐๐๐’–๐’–. not only that but you guys are simple, i love it ๐คฃ๐คฃ๐’•. my life and environment is nothing compared to this, here it is ugly but where you life so vibrant and beautiful ๐๐",你们中国人是如此聪明，你们创造了很棒的东西。我尊重那个。不仅如此，你们很简单，我喜欢它。与此相比，我的生活和环境没有什么，这里很丑陋，但是您生活如此充满活力和美丽的地方
23332,UgytiSxxVbO8dtfVqGp4AaABAg,2,"how cute, you have dogs and lamb following you everywhere. using that outside oven you made with your own hands is awesome. that large wok is amazing. your'e so loving with your grandma, which is lovely to see.",多么可爱，您到处都有狗和羔羊跟随您。用自己用自己的手制成的外烤箱真是太棒了。那大炒锅很棒。你们对奶奶如此热爱，很高兴看到。
40312,UgxceaugYytbh4yXFll4AaABAg,2,"awesome video ever i see about chinese snacks, so happy to watch it,",很棒的视频，我都会看到中文小吃，很高兴观看它，
16931,UgwNQWYOk0Il2CE65eV4AaABAg,2,you are awesome liziqi,你很棒的liziqi
39349,Ugyh58SjL0UukkR2VIJ4AaABAg,2,"i'm so obsessed with your this type of video. light music on the background and the sound of whatever you're making, so satisfying. you rapped everything so nicely so beautifully. everything is so perfect ๐‘ love from pakistan. your work is absolutely awesome ๐‘๐‘",我非常着迷于您的这类视频。背景上的淡音乐和您所做的任何声音，如此令人满意。您很好地说了一切。一切都是完美的
37798,UgxNQaNHRjWyF2ZNMkR4AaABAg,2,"what to say well done. the setting of the videos is constantly excellent, everything is colorful and the places are awesome, ikousse looks very gorgeous. once again, well done like it flies unequivocally",做得好。视频的演出一直很出色，一切都是丰富多彩而又很棒的地方，ikousse看起来很漂亮。再一次，做得好，它明确地飞行
38037,Ugz133JhoWFZIzd8BGN4AaABAg,2,smart girl)) and removed simply awesome !!!,聪明的女孩））并删除了很棒！！！
38862,Ugz-0uI3j33DOgR0v9x4AaABAg,2,"o beauty of colors and brilliant hands
i loved it ๐โค๏ธ
you are awesome .. thank you๐บ","o颜色的美和聪明的手
我喜欢它
你很棒..谢谢你"
3495,UgwjNX4wtoMjYbHYAxF4AaABAg,2,she is so cute and her living village is awesome,她是如此可爱，她的生活村很棒
5820,UgwYguB2IxuCXlyNvUd4AaABAg,2,the videos i sawn from previous day's .......i learned a good thing from u....and the one wish to see u ....siss but the nature the way of doing agriculture...is osmmmmm. there is no social networks there awesome ....my mom is die hard fan of u..... plz reply me akka,我从前一天中锯了的视频.......我从你那里学到了一件好事。 。那里没有社交网络很棒。...我妈妈是你的狂热粉丝..... plz回答我akka
9117,Ugx-4CMoscFnzQ-u2TZ4AaABAg,2,"obviously, i'm awesome to eat you",很显然， 我吃你真棒
41945,UgxqJaXu_hx2CP5lXHx4AaABAg,1,awesome,很棒
21450,UgzhDGpzpCSYuEn8xbB4AaABAg,1,"shows me how hard this life is.... soo beautiful, but really a mass of work and daily care for anything there. awesome to watch, my whole respect!",告诉我这一生有多艰难。我的尊重很棒！
50363,UgzTiiUZ2CBs4UkvebF4AaABAg.8qlkYnN4ozh8qm7-QlvMfL,1,how someone dislike such awesome video,有人如何不喜欢如此出色的视频
22108,Ugx9G9GGl6wiFEXMVk14AaABAg,1,this video reminded me of childhood bed time story...๐๐๐....awesome๐,这段视频让我想起了童年的睡眠时间的故事...
22246,UgzlTZ24QaRwTFlrcGx4AaABAg,1,omg she is cute preety innocent and hardwork to her dedication towards the work is just awesome keep it up,天哪，她是可爱的无辜的天真，努力对工作的奉献精神真是太棒了
11160,UgyahF8IMHYY95isVuF4AaABAg,1,"i sure enjoy watching you gather and prepare your food. you are awesome, just a hard worker you are.๐ฒ",我肯定喜欢看着你聚集并准备食物。你很棒，只是一个勤奋的人。
24190,UgzL-LCa75ONhwKxZdJ4AaABAg,1,i want to live with you and eat whatever you make....looks awesome life you are living...,我想和你一起生活，吃你做的一切。...看起来很棒的生活...
10253,UgzG0uXmdW3HS_6mxj94AaABAg,1,do everything yourself! awesome,什么都自己做！真厉害
51750,Ugza5kHjScoccXXL3NN4AaABAg,1,thanx for sharing your world of how you live and what you do on a daily basis.you are smart highly intelligent and i love your beautiful spirit .you are awesome i love your videos your cooking your grace.,thanx每天分享您的生活和您的生活。
25695,Ugyw3mSIw8T9WNaWwE14AaABAg,1,"i have never seen in my life anyone like her, who can do so many things with nature and work as much as she does! great skills ! everything she does looks delicious and pretty. awesome! keep it up!",我从未见过像她这样的人，他们可以像她一样做很多事情，并且像她一样工作！伟大的技能！她所做的一切看起来都很美味可爱。惊人的！继续努力吧！
25744,UgwVvi6VMvloIniszht4AaABAg,1,"wow! your awesome, all of your videos i watching because your so beautiful and i like you. i am beginner vlogger her in the philippines, i have 2 subscriber only for 1month but i still fighting and i always filming my videos to upload in my youtube channel.
good job li ziqi your the best cooking master woman..i love you ๐","哇！您很棒的所有视频，我看的所有视频是如此美丽，我喜欢您。我是菲律宾的初学者vlogger，我只有2个订户，但我仍然战斗，我总是在拍摄视频以在我的YouTube频道上载。
好工作李Ziqi你最好的烹饪大师女人..我爱你"
4757,UgxTs818UEHfP3uSzXV4AaABAg,1,background music is awesome,背景音乐很棒
25894,UgzV_27KxdY4bH_Zy6l4AaABAg,1,you're awesome and amazing girl... ๐๐๐๐๐,你很棒，很棒的女孩...
41007,Ugx4LuoHmubeWZt8qjp4AaABAg,1,who's recording this? it's awesome. food is everywhere. so creative and talented,谁在录制这个？这很棒。食物无处不在。如此有创造力和才华
19681,UgzvdO1VPELDXVNbWXN4AaABAg,1,your the most awesomest girl ...wish people in america were like you! you have the best videos on the planet and i know you are my sister … much love!,您是最棒的女孩...希望美国的人们像您一样！您拥有地球上最好的视频，我知道您是我的姐姐……非常爱！
26413,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy96sdfyFZ10f,1,awesome dude,了不起的家伙
26506,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy9A9BtR3_gD6,1,awesome! i clean my whole house also. keep it up.,惊人的！我也打扫整个房子。继续努力吧。
31958,UgxcThwL4CsUYJ3u3GB4AaABAg,1,damn this awesome,该死的很棒
50600,UgwQQrzcufere3JJXaF4AaABAg,1,"this is one way to wake up in the morning and start a new day. great video and the work you had to do to produce this is awesome. 
may this new year be better than the last for you and your family.","这是早晨醒来并开始新的一天的一种方法。精彩的视频和您必须做的工作很棒。
愿新的一年比您和您的家人要好。"
31223,Ugx-69aT1-gEqfWh2tp4AaABAg,1,its just awesome.....luv to watch๐’๐’โ,真是太棒了.....爱情看
30898,Ugyfl6JqqUt_Myhz2r54AaABAg,1,your so awesome.,你真棒。
30660,UgzVUjwv5M00lPq2yPR4AaABAg,1,awesome as always.. do you run a bakery?,一如既往的真棒..您经营一家面包店吗？
27644,UgzaP51_qaU8jid4Qi54AaABAg,1,"is there anything she cant cook at all ,she is awesome...she is gracefull",她根本不能做什么，她很棒...她很优雅
44623,UgxH0rSuTqxdWpplwk14AaABAg,1,"so awesome, wish we could all live like this....at least me and my family.",太棒了，希望我们所有人都能这样生活。...至少我和我的家人。
29721,UgySpe_ivXFa9vOzON54AaABAg,1,omg !!!! this girl is doing awesome things .... i love it ..... ๐๐๐๐,我的天啊 ！！！！这个女孩在做很棒的事情....我喜欢.....
6579,UgzcSK5JwiiDiI5yDXl4AaABAg,1,"li ziqi i hope you always make video, life your youtube, cause i really wanna see you, your activity, your creativy its such awesome, iloveyou❤",李Ziqi我希望您总是制作视频，生活你的YouTube，因为我真的很想见你，您的活动，您的创造力真是太棒了，iloveyou❤
43641,Ugw6rZ0VkFP9vHjmStJ4AaABAg,1,"amazing, awesome",很棒，很棒
5827,Ugxy--x-Q8O-MBRmENF4AaABAg,1,she does her work work with love and dedication really very awesome girl,她用爱与奉献精神完成工作真的很棒的女孩
5633,UgxV6Wg1-u7v4xZdxJ94AaABAg,1,"liziqi 
i'm falling in love with your video
i think about you and your staffs effort, all those time to prepared and made this awesome video
this is an art actually ❤️","liziqi
我爱上了你的视频
我想到您和您的员工努力，所有时间准备并制作了这个很棒的视频
这实际上是一种艺术❤️"
29518,UgyG3VTZ29liNXV95CN4AaABAg,1,awesome,惊人的
17359,Ugw3zyNVqDiCv9z2gI54AaABAg,1,"she is awesome
","她很棒
"
40036,Ugw0zE0-EotIgMlL4IN4AaABAg,1,5:57 to care grandma with lovely fear- awesome,5:57用可爱的恐惧照顾奶奶 - 很棒
17131,UgxM4KnJLdNedDsf8fZ4AaABAg,1,lisiqu looks like a awesome doll i wish i was like her,Lisque看起来像一个很棒的洋娃娃，我希望我像她一样
16567,Ugy7hBf4fzyAzD6tjdZ4AaABAg,1,the whole production team is awesome!,整个制作团队都很棒！
16221,UgzvwEp9oVZJ5giUjuZ4AaABAg,1,"awesome,what a peaceful life",太棒了，多么宁静的生活
12335,UgzRPyZ5lt09HuWLLod4AaABAg,1,she is awesome ❤❤❤❤,她很棒❤❤❤❤
37007,UgyzryEZ2_1DANgs-J94AaABAg,1,"traditional cooking.... awesome, fabulous.... mind-blowing",传统烹饪....很棒，很棒。
40008,Ugy5xG9dX6flk2RbAQx4AaABAg,1,awesome,惊人的
35623,Ugxq5AogYh16tQtSC-x4AaABAg.8ubk02XO75B8umk62ia4Y9,1,"it is really awesome. such a rural life is very attractive. hey, this is a bit like the japanese movie in japan, spring, summer, autumn and winter, but there is no explanation. you can produce movies.",确实很牛逼，这样的田园生活很吸引老外，哎，这个有点像日本的那个电影春夏秋冬，只是没有解说。可以出电影了。
39618,UgyifOz28XBXPVW0P0N4AaABAg,1,"the girl is awesome. a tender face, a pair of calligraphy hands.",姑娘真棒。一张稚嫩的面孔，一双布满老茧的双手。
11646,Ugz5fPtct7YaTtIjwfZ4AaABAg,1,wow..how awesome this is ๐ฒ the prepping and cooking itself seems โ€most satisfyingโ€ โบ๏ธ,哇..真棒这是
17026,UgyDrNdT0NanNE0cWTR4AaABAg,1,"i salute your struggle, hard work and perfection liziqi 
you're incredibly awesome ❤","我向您的挣扎，辛勤工作和完美liziqi致敬
你真是太棒了❤"
14002,Ugx3eTbvIrv8yzcfXpR4AaABAg,1,liziki u always awesome i admire u dear,liziki你总是很棒，我很欣赏你亲爱的
38612,Ugy6kKsdKo9oAqhf0fl4AaABAg,1,you're awesome!!,你真棒！！
38508,UgyySeilwT09edSjxot4AaABAg,1,awesome,惊人的
38961,Ugz00abgxo8WBzxGZDF4AaABAg,0,5:14 awesome view,5:14很棒的视图
38867,UgyAuj8_L355O7W79eZ4AaABAg,0,awesome sister,很棒的姐姐
39564,Ugw2gtZMWaOr8P2oGTl4AaABAg,0,you are really talented. you have a so cute pets ๐โค๏ธ you are awesome,你真的很有才华。你有一个如此可爱的宠物
41959,Ugwd-dajtXbJ2mNYxI54AaABAg,0,awesome!,太棒了！
52497,UgydP_2l1HjG87lZ9aN4AaABAg,0,awesome,惊人的
43103,UgwM-vI_zU4OCQrv8bB4AaABAg,0,"just love everything in the video.
an awesome life full of joy.","只是喜欢视频中的所有内容。
充满喜悦的真棒生活。"
42350,Ugzz3_m80YLB5GadkgN4AaABAg,0,"wooow u have eveythings,no need to buy then..awesome",wooow你有eveythings，不需要购买。
39174,Ugw8MEmyy-U9fk33U8x4AaABAg,0,awesome,惊人的
39496,Ugz4RfOP3HNLI40Ye_J4AaABAg,0,you are awesome,你太棒了
52554,UgxkFubg5tyTHDpY9ep4AaABAg,0,always in a expectation ..... to ur video.... u and those lovely kids .... awesome...love you from india. ❤❤❤❤❤❤❤❤❤,总是期望.....您的视频....你和那些可爱的孩子....很棒...来自印度的爱你。 ❤❤❤❤❤❤❤❤❤
43061,UgxjhYrkmykF7XXMg5h4AaABAg,0,this place is how humans should live. you have a beautiful life. thank you for the awesome video’s,这个地方是人类应该生活的方式。你有美好的生活。谢谢您的真棒视频
52743,UgyAY8X8tlwPtGYGby14AaABAg,0,yes another awesome video❤️,是的另一个很棒的视频❤️
52772,UgwFr8GQOhfOoXoJzbh4AaABAg,0,what is the name of the red colour fruit.. awesome video dear..,红色水果的名称是什么..真棒视频亲爱的..
42786,UgxHLLtofI7BAu-hhOh4AaABAg,0,awesome,惊人的
42165,UgxKL4C7G8fYqg4FzYh4AaABAg,0,"you are awesome, can i marry you? :-))",你很棒，我可以嫁给你吗？ :-)）
39210,Ugz6Z1PduOMiMdIY3oJ4AaABAg,0,awesome!!!! this girl is the davinciยดs reincarnation.,惊人的！！！！这个女孩是达芬奇的转世。
40521,UgwYFNLY7EACTcunawV4AaABAg,0,"wow, if you come out of this three or three meals, it will be awesome ..",哇，如果您从这三餐中出来，那将太棒了。
52009,UgzdWM1EFJYrp6ffbGZ4AaABAg,0,everything is awesome for you..,一切对你来说都很棒。
52196,UgwNDR_ScV9tYHnp03x4AaABAg,0,"wow you preserved all foods it's really awesome....
you have so many offseasonals fruits.
i wish i could also have such a beautiful place like yours❤
love your videos.
lots of love from nepal","哇，你保存了所有食物，真是太棒了。
您有很多休赛期的水果。
我希望我也可以像你这样美丽的地方❤
爱你的视频。
来自尼泊尔的很多爱"
40409,UgwadtPOiQr_k0Pc5_l4AaABAg,0,wow awesome and beauty,哇很棒和美丽
40698,Ugz2wcYvrNs6BVN6OYN4AaABAg,0,awesome video!,很棒的视频！
40714,Ugw3Ph2rNga7WOsv4s54AaABAg,0,it's just me or at 5:17 kinda remembered me digimon song? and the video itself makes me feel like i'm in heaven since it's so calm and lovely. but i know that since i've been raised in a city i'll never survive normally like her. you are awesome <3,只是我还是5:17记得我的Digimon歌曲？视频本身使我觉得自己在天堂，因为它是如此平静和可爱。但是我知道，自从我在一个城市长大以来，我将永远无法像她那样正常生存。你很棒<3
40822,Ugy04lDrC3g9VaOWmoh4AaABAg,0,"what a awesome holiday, wish i could help!",多么棒的假期，希望我能提供帮助！
40833,UgyS_nh9I2c78VlRfAh4AaABAg,0,"china's beauty is natural, surrounding spiral is awesome ... still uses antique cooking devices",中国的美丽是自然的，周围的螺旋形令人敬畏...仍然使用古董烹饪设备
52055,UgxMlM3MCA6ZZwOmUDB4AaABAg,0,awesome,很棒
40955,Ugz1tQYPaVNSdxxc4CZ4AaABAg,0,wow awesome video,哇很棒的视频
40170,UgzBAH97-HhVF6YATYx4AaABAg,0,awesome,真棒
40115,UgwYZldauvNB9OTI6Gt4AaABAg,0,your village is awesome,你的村庄很棒
43228,UgxymAmmHvg6BuzMaot4AaABAg,0,i wish i can marry here she’s awesome,我希望我能在这里结婚，她很棒
41240,UgxUrqYu_-gWzhnrQcF4AaABAg,0,awesome ur multitalented girl,真棒你的多元女孩
41272,UgzNTdX8CoQLodrRKz54AaABAg,0,there is nothing to do this woman. awesome.,这个女人没有什么可做的。惊人的。
41300,Ugxc-TUQaDMuBYKbZPB4AaABAg,0,"awesome!
where are you live ?","惊人的！
你住在哪里 ？"
41303,UgxWPZ8cTgPp-cjJbXd4AaABAg,0,"omgoodness i love this channel, soo awesome",天哪，我喜欢这个频道，太棒了
41439,Ugx83YTtabDrToyo8Vt4AaABAg,0,awesome :),惊人的 ：）
41511,UgyapUe_7IhBEpVH7Xp4AaABAg,0,she definitely has some skills. awesome,她肯定有一些技能。惊人的
52121,UgzhOVfyo8imuqxvdv94AaABAg,0,just woowwww awesome,只是Woowwww很棒
41539,Ugy2O83RQSchP0M9mFB4AaABAg,0,little blue in hood awesome video,小蓝色的引擎盖很棒的视频
41719,Ugz7if2bAd_ccpzaLUZ4AaABAg,0,she is awesome,她很棒
41751,UgxkOFr_gvwyMZwDFjF4AaABAg,0,"awesome weather.while iam watching ur videos,will became a huge fan of u.i really loved it",很棒的天气。虽然我看着你的视频，但会成为美国的忠实拥护者
41760,UgxqPBw3eDqS57aY_I54AaABAg,0,awesome,惊人的
50000,Ugz5kv_-0vOvYc8eYfp4AaABAg,0,all of your videos are awesome..enjoyed it so much!,您所有的视频都很棒。
51129,UgyJ2vpaJAAItgUCKVx4AaABAg,0,you are awesome!!!!! no words to explain about your talent and perfection..,你太棒了！！！！！没有言语可以解释您的才能和完美。
43323,Ugy_0Udq4_8NFkZVDRB4AaABAg,0,woww ur so awesome...i luv tat girl ...,哇，你真棒...我爱tat女孩...
50254,UgySAr_FtDfFehSMVmZ4AaABAg,0,you make everything you do look so simple to make ! awesome,您使您看起来如此简单的一切！很棒的
47637,UgwvH6H2ltV5S0T_z1F4AaABAg,0,awesome..wanna visit her and try chinese cuisines.,太棒了.. wanna拜访她，尝试中国美食。
47906,Ugy93NHvzwbR3G3u2Qt4AaABAg,0,how cleanly you're doing things... it's really awesome to see you... multitalented girl... god bless you... with love from india...,你在做事多干净...见到你真是太棒了...多元化的女孩...上帝保佑你...来自印度的爱...
50358,Ugwq5JcP_iS2yWHMrV54AaABAg.8qlk_qbGlqs8qlrHHneDWD,0,yes no yeah her vids are awesome. and i wanted to know who she is. like she is an actress who demonstrates life in the village in china & makes it look like her life (but in reality she doesnt live there). but she seems to cook very well like its her own skills and not just acting. so i was confused and curious haha. thank u!!,是的，她的视频很棒。我想知道她是谁。就像她是一位女演员，她在中国村里展示了生活，并使它看起来像她的生活（但实际上她并不住在那里）。但是她似乎像自己的技能一样做得很好，而不仅仅是表演。所以我很困惑和好奇哈哈。感谢你！！
48152,UgzgJxUIYQpWlqAiI9F4AaABAg,0,really awesome,非常棒
48261,Ugzve9g4FvntgQS4WGl4AaABAg,0,"i gotta try the nougat candy recipe, looks yummy! and the baby animals are growing up so fast. awesome channel...i'm in love.",我必须尝试牛轧糖糖果食谱，看起来好吃！婴儿动物的成长如此之快。很棒的频道...我恋爱了。
