,cid,votes,含watch,含watch中文翻译
6526,Ugysep0UAKCEBkEPxNh4AaABAg,428,"i feel like if i’m watching a studio ghibli real life movie.

your camera skills are so good and music choice is flawless.","我觉得如果我正在看吉卜力现实生活中的工作室电影。

您的相机技能非常好，音乐选择是完美无瑕的。"
16214,Ugxw-CHMyW_Pv69MBnB4AaABAg,405,this is better to watch than any kind of hollywood movies,这比任何好莱坞电影都更好
26232,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8znk8cbTKoX,395,good going...watch marie kondo videos and learn about the konmari method. it will further change your life and clear your mind of debris. โจ,好吧...观看Marie Kondo视频并了解Konmari方法。它将进一步改变您的生活并清除碎片的思想。 ✨
31922,Ugytz33sw9utXZ0XKlJ4AaABAg,367,it's so cute watching the lil ones follow her wherever she goes ;-;,无论她走到哪里，看着她跟着她跟随她真可爱; - ;
4154,UgwLpqWdlXqbbaIslTd4AaABAg,351,watching your videos can calm me down and forget the fatigue of my body,看你的视频可以让我心静下来，忘记身体的劳累
14220,Ugz2NGiRqNI2H2aDiBx4AaABAg,312,"i rewatched the part where the popcorn machine “exploded” so many times, watching liz cover her grandma’s ears and jump was so funny",我重新观看了爆米花机的“爆炸”很多次的部分，看着Liz遮住了奶奶的耳朵，跳了很有趣
43836,Ugzvt3VyGfyew7mfnxN4AaABAg,310,"that physical type of life full of colours, fresh air, products straight from the nature, organisation to every preparation creates calmness in my soul! your videos are an oasis in my difficult, anxious city life. i love watching you! you make my day! god bless you! keep it that way!",从大自然，组织到每种准备工作的那种充满颜色，新鲜空气，产品的物理类型，都会在我的灵魂中镇定！您的视频是我艰难而焦虑的城市生活中的绿洲。我喜欢看你！你让我开心！上帝祝福你！保持这种方式！
1766,Ugxx_UFKQg4oB36qtSN4AaABAg,310,everyone who watches these equally loves her couldn’t we all get along and be friends no matter what country you are from and we could grow our beautiful gardens like liziqi,每个同样爱她的人都无法相处并成为朋友，无论您来自哪个国家，我们都可以像Liziqi一样种植美丽的花园
39885,Ugzyd6YIBPmBDwWvsJd4AaABAg,305,"o my god, what is this place called, heaven ? amazing how the young woman (can i call her angel) is doing all the cooking, feeding her grandma, everything is just so precious to watch. 
i'm glad this video showed up in my recommendation. so beautiful โค๏ธ๐","我的上帝啊，这个地方叫什么，天堂？惊人的年轻女子（我可以称呼她的天使）正在做所有的烹饪，喂养她的祖母，一切都很珍贵。
我很高兴在我的建议中出现了这段视频。如此美丽的❤️"
7720,UgxSgCYsMbdkY4I6If14AaABAg,293,i don't know why i watch this. but it feels good,我不知道为什么要看这个。但是感觉很好
43012,Ugw9GZs9TOFagMN7TCV4AaABAg,265,after watching this ! i hate my life and i feel like i'm not healthy at all,看完这个！我讨厌自己的生活，我觉得我一点都不健康
42244,UgwtsLBEnygPVuHoWmF4AaABAg,254,felt so good watching this! thank you for recommending me this youtube,看着这个感觉真好！谢谢您向我推荐这个YouTube
26234,Ugz4x9jZf79qtb1MNMB4AaABAg.8zkpfxZ3kEy8zomQfp5qkZ,246,watch her videos ..... and did remind how lazy i am... i definitely have to do something meaningful..,观看她的视频.....并提醒我有多懒...我肯定必须做一些有意义的事情。
46847,Ugzy9Ytt29Kbh9V16id4AaABAg,222,"i come from the same place with you, li ziqi. everytime i watch your videos, it reminds me of my childhood and my grandmother. we also lived in the small and beautiful village in sichuan province. my grandmother even has the same skills as you, she knows how to planting, cooking and making some useful tools. i'm so glad that you introduce our traditional rural lifestyle to the people all over the world. and let them know there are not only beijing, shanghai and shenzhen in china, but also a land of abundance which last a unique lifestyle for more than thousand years, and named sichuan, also the land of heaven in chinese. but i can't back to sichuan because of exams this year, and your video will accompany with me in the chinese new year. support from a chinese and szechuanese in italy. happy chinese new year!!!!",我和你一起来自同一个地方，李齐。每当我观看您的视频时，它都会让我想起我的童年和祖母。我们还住在四川省美丽而美丽的村庄。我的祖母甚至具有与您相同的技能，她知道如何种植，烹饪和制造一些有用的工具。我很高兴您将我们传统的乡村生活方式介绍给世界各地的人们。让他们知道，中国不仅有北京，上海和深圳，而且还有一片丰富的土地，持续了一千年的独特生活方式，并命名为Sichuan，也是中国人的天堂之地。但是由于今年的考试，我无法回到四川，您的视频将在农历新年陪伴我。意大利的中国和锡古扬人的支持。农历新年快乐!!!!
3212,UgynOaVEsdMUOikfYZ14AaABAg,221,"im so happy to see 1 million and more likes on her video ❤️ im watching her videos when there was only 1k likes i found her video on youtube after i randomly searched chinese food , i was so glad i did...and always thought she must have to get a million and more for this precious videos",我很高兴在她的视频上看到100万及更多喜欢的喜欢❤️我在观看她的视频时，当我随机搜索中国菜后，我在youtube上找到了她的视频，我很高兴我做到了……而且总是以为她必须为此宝贵的视频获得一百万和更多的东西
32525,UgyjeQsbbnnAx4kfxQ14AaABAg,181,"any one watching this same episode multiple times, hit a like..",任何人多次观看同一情节，击中一个。
48725,Ugz9GqrwOQjkZKeZQF14AaABAg,170,"i am a fan of facebook and fans on the internet. we like to watch your special show and watch you enthusiastically.
we are arabs, but i use translation procedures. i always ask my friends to follow you on facebook and youtube. thanks","我是Facebook和网络上的粉丝的粉丝，我们喜欢看你的特别节目，热情地看着你。
我们是阿拉伯人，但我使用翻译程序，我总是要求我的朋友在Facebook和YouTube上关注你。谢谢"
19487,Ugw-LfhAQMSxFkTNOcF4AaABAg,155,protect this person at all cost. she is an inspiration. my bad for discovering her channel at this time only. but binge-watching won't hurt anyway.,不惜一切代价保护这个人。她是一个灵感。我目前只发现她的频道不好。但是，狂欢观看不会伤害。
40283,Ugw-aEsAm6XHGhkx0kZ4AaABAg,153,"every time watch ms. li the video, i feel like i’m inside the villages",每次观看视频李女士时，我都会觉得自己在村庄里。非常爱
28918,UgwBVfqxOlRK4Uuhbv54AaABAg,151,i cried when i was watching this video. i don't know why.,当我看这部视频时，我哭了。我不知道为什么。
41636,UgxP_Cj06aZmLa2bSqp4AaABAg,147,"even if this whole shit is fabricated, it's entertaining and peaceful to watch so who cares",即使整个狗屎都是捏造的，看着谁在乎，谁在乎
32160,Ugx1LXTsr5AkRIsGb_p4AaABAg,144,"i love that anyone can watch these amazing videos, there is no real language barrier or anything! i wish i was as talented as her",我喜欢任何人都可以观看这些令人惊叹的视频，没有真正的语言障碍或其他任何东西！我希望我像她一样有才华
20419,Ugw-yXWHCd-PwfvFmhZ4AaABAg,143,"i used to have sleeping problems and most of the time i just couldn't sleep, not even a wink but since i started watching her videos, my mind was more at ease. her videos are so soothing. she calms me down, i'm speechless",我曾经遇到睡眠问题，大多数时候我无法入睡，甚至不是眨眼，但是自从我开始观看她的视频以来，我的头脑更加轻松。她的视频是如此舒缓。她让我平静下来，我无语
49776,UgxYLjNZHC2ZCH5UdHt4AaABAg,139,this is the first youtube's channel where i watched all the videos. you always amaze me !!!,这是我观看所有视频的第一个YouTube频道。你总是让我惊讶！！！
46446,Ugx3xkI2JGadhTYqM0Z4AaABAg,133,when i was a lil girl i had a book of chinese folk tale (written in bengali) which was very close to my heart.there was a girl in that story who used to stay with her granny in a beautiful villlage of china .she too used have a gang of pet...she would also do many household chores just like this girl and her lifestyle was my childhood fantasy..i used have a pretend play just like the lifestyle of that girl mentioned in the story....when i watch this channel i feel very much nostalgic to see this pretty girl and her life....she is an amazing girl...god bless her and her granny..,当我还是个小女孩的时候，我有一本中国民间故事（用孟加拉语写的），它非常接近我的心。这个故事中有一个女孩曾经和她的奶奶一起住在一个美丽的中国村庄里。曾经有一群宠物...她也会像这个女孩一样做很多家务，而她的生活方式是我的童年幻想。我二手的假装就像故事中提到的那个女孩的生活方式一样。当我观看这个频道时，我很怀旧地看到这个漂亮的女孩和她的生活。...她是一个了不起的女孩...上帝保佑她和她的奶奶..
2605,UgxKWc0pdUtmQe_MPll4AaABAg,124,"the chinese countryside is just wow. this lady is awesome, besides, her cheerfulness seeps to us while watching her. keep it up",中国乡村真是太哇了。此外，这位女士很棒，她的开朗在看着她时渗入我们。保持
34773,UgyQpM0HVnaBQhUMEap4AaABAg.8usp0Ub-hJg8v2RLsezp_a,121,yet here we are procrastinating watching her work her ass off ๐ญ๐ญ๐ญ๐ญ man i had one thing to do at uni and i ain't even done that,然而，在这里，我们正在拖延看着她的工作，她的屁股脱落了
21008,UgxAvEm9E-OR-TCgCHd4AaABAg,114,when you can smell all the foods she cooks while watching. this girl is really really good at cooking.,当您可以在观看时闻到她烹饪的所有食物时。这个女孩真的很擅长做饭。
4230,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9SGo4SS6KHV,113,"it’s actually staged. but don’t get me wrong, it’s still entertaining to watch.",它实际上是上演的。但是不要误会我的意思，它仍然很有趣。
40196,UgyPjH9TA52o85Jn9RZ4AaABAg,110,this beautiful young woman makes everything look so easy and very attractive!!! she is a unique and extremely talented lady. her work is always amazing and so very fun to watch. beautiful in all aspects!!,这个美丽的年轻女子使一切看起来如此轻松，非常吸引人！！！她是一位独特而极其才华的女士。她的作品总是很棒，而且非常有趣。各个方面都很美丽！
32171,Ugw98zMUT5-2W4KP6xF4AaABAg.8vxydkDtngx8vyqg3jFHvj,109,thats what i watch for too,那也是我所看的
16566,UgzlpPc-Ymml4G00nv94AaABAg,104,this entire video is just 10 minutes but i feel like i lived one eternity peacefully while watching it,整个视频只有10分钟，但我觉得我在观看时和平地生活了一个永恒
42612,Ugx7O2f_d5NDecHu3Vx4AaABAg,100,i'm so glad i found this channel. something about watching people do what they love so skillfully is just so satisfying. idk how else to explain it. i love these videos to pieces. please keep them coming! <3 <3 <3,我很高兴找到了这个频道。看着人们如此熟练地做自己喜欢的事情是如此令人满意。 idk还有其他解释。我喜欢这些视频。请让他们来！ <3 <3 <3
29303,UgwdVDks-QjjWNlASBl4AaABAg,95,when i watch her videos i feel in fairy world..so emotionally appealing!! i really want to meet this chinese angel and hug her !! lots of love from india,当我观看她的视频时，我会在童话世界中感到。我真的很想见这个中国天使，拥抱她！来自印度的很多爱
22352,UgzLYsI9CIkRk3uK2TN4AaABAg,93,every time i feel lazy. i watch this girl and it inspires me to work harder..,每次我感到懒惰。我看着这个女孩，这激发了我的努力。
25676,Ugy6RKxBfIBxOuWcg9B4AaABAg,88,have anyone are watching the video while seeing the comments too?,有没有人在看评论时观看视频？
30745,Ugwa7gDHnFadb3OG1yd4AaABAg,85,i've binge watched this beautiful womens videos for the past hour and i'm just at awe by how much she knows.,在过去的一个小时里，我一直在狂欢观看了这个美丽的女子视频，我对她知道多少感到敬畏。
39609,UgwyQBO-haOzzx3wwhB4AaABAg,82,a cup of coffee would watch these videos to get motivated in the morning. love it.,一杯咖啡会观看这些视频，以便早晨动机。爱它。
42241,Ugw1Xz4KR_ZFthpEpXt4AaABAg,81,"every time i’m watching her video , it reminds me how beautiful the world we leave in....",每次我观看她的视频时，它都会让我想起我们留下的世界多么美丽。
7424,UgwzWhevUJ9D6TVXfjh4AaABAg,80,"my 18+ photos here sexydates.live


miako -san! ฅ (̳ • · · • ̳ ฅ)
tanta beyezas que dios a hecho en este mundo asere y
disen que dios es malo si dios es malo nadie es bueno asere
mil grasias por tanta beyesas i loro stati di salute rispettivenirli
thank you for the reorganization of the live distribution! the live distribution on this day was quite ridiculous! more than 10,000 people were watching (laughs). it was also exciting that i forgot to cut the camera and did one! i feel 51x61715 in the future","我的18多张照片在这里sexydates.live


miako -san！ ฅ（̳•··•̳ฅ）
Tanta Beyezas que dios a hecho en este mundo asere y
Disen que dios es Malo si dios es Malo Nadie es Bueno Asere
Mil Grasias Por Tanta Beyesas I Loro Stati di致敬Rispettivenirli
感谢您对现场发行的重组！这一天的现场演出非常荒谬！有10,000多人在看（笑）。我忘了切开相机并做一台相机也很令人兴奋！我将来感觉到51x61715"
23132,Ugwgt34w5aNKf6467zt4AaABAg,77,"i really like the japanese and chinese culture, filled with peace, harmony, in love with nature, satisfying.. it's such an exquisite thing to watch. god bless that girl and you all. thanks for reading my comment. have a great day ahead!",我真的很喜欢日本和中国的文化，充满了和平，和谐，爱上自然，令人满意..这是一件精美的事物。上帝保佑那个女孩和你们所有人。感谢您阅读我的评论。祝您有美好的一天！
16440,UgzShS_TdCNk4AaiYZJ4AaABAg,76,is there anyone who is watching japanese?,有没有人在看日语？
52114,Ugzs5gxT0CEiwFvlQ8t4AaABAg,76,"these videos are little gems. i treasure each one and marvel at your life. you bring such joy to the tasks of your days, joy to your grandma and i hope and believe to the people around you. i have gained a whole different perspective of china from watching these glimpses into a way of being i had no concept of before. today i saw some humour in you, the little kick and jump from the loud bang, so cute. you are a blessing to this world.",这些视频是小宝石。我珍惜每个人，并惊叹于你的生活。您为自己的日子的任务带来了如此快乐，对奶奶感到高兴，我希望并相信周围的人们。我从看着这些瞥见的一种方式中获得了一种完全不同的中国观点。今天，我看到了你的幽默，小踢从大声的爆炸中跳了起来，真可爱。你是这个世界的祝福。
2963,UgxNvbg3jVHWU7L27AB4AaABAg,75,"i admire you, beautiful girl! you are an extraordinary sorceress! give the lord to your health, your grandmother. you are a huge female happiness! i constantly watch all your issues, naturally signed. how i want to visit such a place, get acquainted with you, to adopt something interesting for yourself. live happily and happily, beauty",我很欣赏你，美丽的女孩！你是一个非凡的女巫！给予主，使您的健康，祖母。你是一个巨大的女性幸福！我不断地观察您的所有问题，自然而然地签名。我想如何去这样的地方，结识您，为自己采用有趣的东西。幸福快乐地生活，美丽
36593,UgzQNc8ceqoOm2ZnvXl4AaABAg,74,"beautiful to watch the process, and encouraging. life is harder but more valuable when we work with nature (earth's bounty) instead of against it.",美丽地观看过程和鼓励。当我们与自然合作（地球的赏金）而不是反对时，生活更加艰难，但更有价值。
30044,Ugxqwf4_jQnXz64cKqt4AaABAg,73,ive watched this video countless times since last night :/ the puppies and the lamb are so cute,自昨晚以来，我看了这段视频无数次：/幼犬和羔羊是如此可爱
47584,UgwgzydsHM_WqD7TLO54AaABAg,73,"i think this must be one of the best videos in this channel. all the foods prepared by li are very delicious. i like those puppies who have been following her. watching such a video makes me happy and calm my thoughts. you are great, li ziyi",我认为这必须是这个频道中最好的视频之一。李准备的所有食品都非常好吃。我喜欢那些一直跟着她的小狗。观看这样的视频让我感到高兴，让我的思绪平静下来。你太棒了李子柒
960,UgxrOfdEb8ZfmYaauWl4AaABAg,71,"i have been reminiscent of n times, and i have been watching it all the time. it โ€s really a lot of wonders. when will li ziyi come back? wait for a long time and miss it!",我已经回味N次了，一直看一直看，真的是百看不厌，李子柒什么时候回来呢？等好久、好怀念啊！
43014,Ugxguqk2n36qX8RTaap4AaABAg,71,"i can't stop the replay button, watching it again and again, so satisfying",我无法停止重播按钮，一次又一次地看着它，所以满足
21222,UgzU8EfG12_tYDCexlh4AaABAg,70,"it's like watching and historical drama with soothing music and deep down she seems like a special girl...sticks tot the traditional way... for some reason, although she didn't say anything just do her work it means she's focusing and confidence of her ability....its really good to watch...sooo calming",这就像看着和历史戏剧，充满舒缓的音乐，深处她看起来像个特殊的女孩...以传统的方式粘贴在一起...由于某种原因，尽管她什么都没说，但她的工作没有做任何事情，这意味着她正在集中精力和自信她的能力....真的很好看...太平静了
28002,UgyyrbUKYWOw4sOzJgt4AaABAg,70,"i'm addicted to her video๐ just subscribe after watching the bamboo version, found her video accidentally for my bamboo diy project and now i'm becoming addicted ๐๐",我沉迷于她的视频
8694,UgxTrdQpB5pxOySrAHt4AaABAg,70,"this video exceeded 80 million people to watch! in the same period last year, it was 60 million, and ziyi could always create miracles. how many happiness she brings to this world!",此视频突破八千万人观看了！去年同期还是六千万，子柒总是能不断创造奇迹。她给这个世界带来了多少快乐!
12604,UgwkeqJWwAdu2Rb2pr94AaABAg,70,this video should be watched by people who wants do world war 3,想要做第三次世界大战的人应该观看此视频
10006,Ugzv1BoF0naJsVmCujl4AaABAg,69,watching hardworking people achieving their goals... suddenly me and my lazy ass thinking i want that life...,看着勤奋的人实现自己的目标...突然我和我懒惰的屁股以为我想要那个生活...
4234,UgybaqlaPDXgQ89PPld4AaABAg.9Re070FLoFc9SVnqyZtCgZ,68,@diogomelo3705 i’m sorry buddy… but her video is still fun to watch hahah you can just enjoy the video hahahah,@diogomelo3705我很抱歉...但是她的视频仍然很有趣，您可以欣赏视频哈哈哈
4532,Ugyp7-T49IaiYft3_It4AaABAg,65,i really like watching your videos and as someone who’s really into cultural history and related topics it’s very nice to see traditional chinese methods that you use ! loads of love from bangladesh,我真的很喜欢观看您的视频，并且作为真正从事文化历史和相关主题的人，很高兴看到您使用的传统中国方法！来自孟加拉国的大量爱
12707,UgwWCHWN-u-UvxCoPPZ4AaABAg,65,"i wish i had her life.. i'd be happy to do the hardworks than watching netflix and playing mobile legends,",我希望我有她的生活。
46791,Ugyz2u_4CkZP9UMo6Pl4AaABAg,62,i can't stop watching. tasty better watch out,我不能停止观看。美味更好
28583,UgxpQWGuO3noCYrAGBt4AaABAg,62,probably her videos are the only ones i watch without skipping. because i would be completely mesmerized by her work.,她的视频可能是我唯一不跳过的视频。因为我的工作将完全迷住。
21207,UgxPn91sUsWYBwhEF1J4AaABAg.93uKWsEplVV93x_937hx_a,60,elns watching people making popcorn like that was one of the happiest things in my childhood. back then we had very few snacks or food. the popcorn guy walked town to town. when he came to our neighborhood we were really happy. we brought our own rice or corn kernel and only paid him several cents for making popcorn. he roasted his tightly sealed pot over fire. at the end he released the lid and it made a super loud sound. and we the children just jumped away with laughter.,Elns看着人们做爆米花的人是我童年时代最快乐的事情之一。那时我们有很少的小吃或食物。爆米花的家伙走到城镇。当他来到我们附近时，我们真的很高兴。我们带来了自己的米饭或玉米仁，只付了他的几分钱来制作爆米花。他在火上烤了紧密密封的锅。最后，他释放了盖子，它发出了超大的声音。我们的孩子们只是大笑起来。
8256,UgwsrCYWJfb0T8Olw8J4AaABAg,59,"no one:
literally no one:
me: watching this at 3 am","没有人：
实际上没有人：
我：凌晨3点看这个"
39694,UgwQcWZrlXAU2kq2xUp4AaABAg,58,"i scared and jumped up, it's really cute
่ฑ seeing the full english comments below, i really feel happy for you. people in different countries like your videos very much, and people who watch it also feel easy and happy. i wish you and grandma who can live a happy and healthy manner every day like now ๐","吓到跳起来那下真的太可爱了
"
28881,UgwYc4ASszZs8Lu5LV14AaABAg,56,this is my favorite video of herโบ๏ธ๐’•i binge watch her videos and this young lady is amazing!!! i wish i could taste her yummy food ๐ฅ,这是我最喜欢的Her☺️
46558,UgxR2ZXCkTAfDHvb0et4AaABAg,56,why do i feel suddenly want to cry watching this beautiful girl work out on all that foods??,为什么我觉得突然想哭泣看着这个美丽的女孩在所有食物上锻炼呢？
39018,UgxwnyMKTCAQhmJB_Z14AaABAg,54,"this is the first video that i watched. from that moment on, i had subscribed. even my aunt, mom, uncle, dad, including my grandma now enjoy watching your videos. thank you.",这是我观看的第一个视频。从那一刻起，我已经订阅了。甚至我的姨妈，妈妈，叔叔，爸爸，包括我祖母现在喜欢看你的视频。谢谢。
43933,Ugwet4BbhmZEME41JiF4AaABAg,54,"
i’ll be watching more videos on this channel. no words say a lot. 
","
我将在此频道上观看更多视频。没有话说很多。 
camera质量很棒。"
7603,UgyZWFyvPrTvFM6f7OR4AaABAg,52,watching the popcorn machine pop was the joy of my childhood. we could afford popcorns only once a year. it was just my favorite memory.,看着爆米花机弹出是我童年时代的喜悦。我们每年只能负担得起爆米花。这只是我最喜欢的记忆。
34583,UgycS6A6AjIeipKygAR4AaABAg,51,these videos are so addicting to watch.,这些视频令人上瘾。
15204,UgyGOGjRsVqFMSvvag14AaABAg,48,"every time i watch your video, it feels like a healing of the soul. the seemingly bland life has been a poem by you",每次看你的视频感觉都是一种心灵的疗愈，看似平淡的生活被你过成一首诗
36192,Ugy8i4ruNZK0ysH4Jm14AaABAg,47,"i've watched 1.5 videos. i've never subbed so fast in my life.


edited to add: how are you so amazing","我看过1.5个视频。我一生中从未如此迅速。


编辑要添加：你真是太神奇了"
5399,Ugwqvmf7kfb71sksyB94AaABAg,44,"something great to watch when i’m stuck in bed, depressed and sick. it definitely brings me joy to see people like this out there

i have a bad immune system, soo it’s really disappointing to me when i get sick..again","当我躺在床上，沮丧和生病时，值得一看的东西。看到这样的人，我肯定会让我高兴

我的免疫系统不好，当我生病时，我真的很失望。"
48793,UgwG8_Gqso-xuHrhi5J4AaABAg,44,"got addicted to this channel, cant stop watching here videos",沉迷于这个频道，不能停止在这里观看视频
13239,UgxnROJTLkZa2i6FP3x4AaABAg,44,i’ve watched this so many times,我看过这么多次
47319,UgzBjxAQxko9UESdin94AaABAg,43,"it's chinese new year 2 days later, the most important day for all chinese every year no matter where they are(if chinese astronauts someday could land mars, it still is). for kids , elder relatives will give them small amount of money(压岁钱) to repress their growing older, that's a tradition with many blessing meanings. the whole family will stay awake the whole night of new year's eve, enjoy feast，watch shows, play fireworks.",两天后，这是农历新年，这是每年最重要的一天，无论他们身在何处（如果有一天中国宇航员有一天可以登陆火星，那仍然是）。对于孩子来说，老年亲戚会给他们少量的钱（压岁压岁）来压制他们的年龄较大，这是一种具有许多祝福的传统。全家人将在除夕整个晚上保持清醒，享受盛宴，表演，玩烟花。
773,UgwuETGeOfnM1Irr1Hl4AaABAg,43,"i hope you will come back soon, i have watched a lot of your videos, don't miss a video, we miss you",希望您能尽快回来，我看过很多视频，不要错过视频，我们想念您
13817,UgxTPEhZueXTD1lsRfF4AaABAg,41,"i don't know why, i am a big man, watching this video crying. perhaps it is moved in the world to have such a peaceful, beautiful, close life of nature, and then look at the mediocre and complicated and complicated work every day in the city. ziyi wishes you and mother -in -law who has always been healthy and happy, thank you for your video.",不知道为什么，我一个大男人，看这视频哭了。也许是感动世上有这么宁静的，美好的，亲近大自然的生活，再看看自己每天在城市里庸庸碌碌紧张复杂地打拼着，很向往。子柒祝福你和婆婆一直健康快乐，谢谢你的视频。
18779,UgzKtMUUDBRw818B_xp4AaABAg,39,"watch more than 49 million times. essence it's almost 5 million real cows
when she looks at what she does, she has appetite and wants to eat, especially the snowflake crispy mango. essence","四千九百多万次观看。。快五千万了 真的牛
她做的东西看着就有食欲 想吃 尤其是那个雪花酥 芒果干。。"
31268,UgwjVSi8JohIVtPgqZ14AaABAg,38,this is what fairytale looks like! i can't stop watching your videos. keep up the good work! โค๏ธ๐๐’ฏ,这就是童话的样子！我不能停止观看您的视频。保持良好的工作！ ❤️
28829,UgzdklCZxyqZVL_9pL14AaABAg,38,"day by day i am watching her video.....i am speechless......speechesss.....what is she....?????!!!!
awesome....she just live in heaven.......really.....can not believe my eyes.so relaxing .i am just adicted....anyone else?","我每天都在观看她的视频.....我无语......演讲.....她是什么.......... ????? !!!!
太棒了....她只是住在天堂....真的.....真的.....不敢相信我的眼睛。"
14560,Ugyu-ASrt2HH3a5LJJd4AaABAg,38,it’s for 4am and god i’m so hungry watching this.... everything looks so good,那是凌晨4点，上帝，我真饿了。
47324,UgyokK6B7E47XLXi7OJ4AaABAg,37,"happy chinese new year to u and grandma!!! 
i love watching ur videos! the life u live is beyond beautiful...","在春节快乐，你和奶奶！！！ 
我喜欢看你的视频！你的生活超越美丽..."
29208,Ugxv_7H9TgQSuRMBx-94AaABAg,36,beautifulโคโคโค i can not stop watching. i think it is not melon seeds its sunflower seeds,美丽❤❤❤我不能停止观看。我认为这不是瓜子的葵花籽
28802,UgyLhdZSgYuG4znufk54AaABAg,34,"watching 30,000,000 times, it's amazing.","30,000,000次观看，太了不起了。"
49775,Ugx75025opDadQ9ilot4AaABAg,33,"this episode is so long, and it is fun to watch. it is more satisfying than winning money to win money hahaha",这集好长，看的好过瘾。 比打牌赢钱还满足 哈哈哈
45333,UgwA3tbrbc7jlGRBkSt4AaABAg,33,"a great video, you don't have to learn it, just watch it quietly, you have a good pressure effect. thank you, a beautiful and serious girl!",好棒的视频，不一定要跟着学，只需静静的看，就有很好的舒压效果。谢谢您，美丽而认真的女孩！
8294,UgzdRRvjd0a2NcZkSI54AaABAg,33,"everybody:watching them cook
me:baby doggo","大家：看着他们做饭
我：宝贝狗狗"
7525,UgzNrsIZv0w0zdk12vd4AaABAg,33,"when i watched this, i was really impressed to see her very diligent and skillful daily activities...",当我看这件事时，看到她非常勤奋和熟练的日常活动给我留下了深刻的印象。
6922,UgyrQ9K7L0e09rYxm1t4AaABAg,32,it's very interesting i found myself productive throughout the day lately after i started watching this channel. she is not only a beautiful lady .. but everything she does is beautiful. every dish she makes looks soooooo delicious. even da land where she lives must be how the paradise is. priceless.,我开始观看此频道后，最近一天整天都发现自己很有成果。她不仅是一位美丽的女士..而且她所做的一切都是美丽的。她让她看起来很美味的每道菜。即使是她所居住的da土地也必须是天堂的样子。无价。
2424,Ugw1PwIYK0oZ3iaLDRB4AaABAg,31,"the first time i saw this kind of video, watch 100 million times to watch",第一次看见这种视频1亿次观看
28757,UgzKi3tB0DdG7t1i2xp4AaABAg,31,i feel like i'm watching some kind of cartoons/anims.,我觉得我正在看某种卡通/动画。
698,UgyHGWBRpTeuultiojJ4AaABAg,31,"it's been so long, it's still very moved to watch this video",这么久了，看这个视频还是很感动
32101,UgxyCsj2G-LCY3yMX1N4AaABAg,30,the most satisfying video i had ever watched in youtube!!!,我在YouTube上观看过的最令人满意的视频！！！
3733,UgwuV3dqK-TZhxBvBch4AaABAg,29,another level of positivity i get whenever i watch your videos...very inspiring,每当我观看您的视频时，我都会获得另一个积极性...非常鼓舞人心
