,cid,votes,含respect,含respect中文翻译
22907,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192qr9YR6Bgs,12,"โ€ @wyattjia3202 not all the chinese eat dogs, but we should respect their personal choice, this is freedom social. don't press all the people has to be like you. you also eat the sheep, right?",@wyattjia3202并不是所有的中国吃狗，但我们应该尊重他们的个人选择，这是自由的社交。不要按所有的人必须像你一样。你也吃羊，对吗？
22909,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192qv0EXQQqC,12,"@wyattjia3202 in china, there is a sentence: if you wanna someone to respect you, you have to respect someone firstly.
so that, you should respect people's choices, if not, what is your difference from the autocrat? or, are you agree with all the nonvegetarian to press you to eat meat as what you want the human to be a vegan?","@wyattjia3202在中国有一个句子：如果您想尊重您，则必须先尊重某人。
因此，您应该尊重人们的选择，如果没有，您与独裁者有什么区别？或者，您是否同意所有非素食主义者将您作为您希望人类成为素食主义者的肉类吃肉的人？"
35040,UgyoQ22FTE7CBFzC4qx4AaABAg.8ukF8x1n6m-8vFmr4U8H7N,10,"all i know is i've been depressed all day long and i don't know why. i think too much. and then this video comes across and it has been popping up for a couple of weeks and i hadnt watched it... but today i did. i just observed and soaked in all the beauty of it....and it really just helped me to change my perspective. there's a lot we can learn from her videos. simplicity and beauty. also notice her priorities and how much it piece she is at. there is so much respect for the family and the animals, nature and all the bounty of the earth we can take whatever we want from this without over-thinking it.",我所知道的是，我整天都感到沮丧，我不知道为什么。我多虑了。然后播放了这个视频，它已经弹出了几个星期，但我没有看过...但是今天我做到了。我只是观察到了所有的美丽。...这确实帮助我改变了自己的观点。我们可以从她的视频中学到很多东西。简单和美丽。还要注意她的优先事项以及她的优先次数。人们对家庭和动物，自然以及地球上的所有赏金都有非常尊重，我们可以从中汲取一切，而无需过度思考。
28151,UgxV6wwjOWPppmiiUF54AaABAg.8ylbPgnyalM8zGQ-N5ibE5,9,china has a rich a beautiful culture which is evident in the many exquisite chinese dishes. i think chinese food is the most flavorful and unique experiences i've had. definitely have a lot of respect for chinese culture.,中国拥有丰富的美丽文化，在许多精美的中国菜肴中都很明显。我认为中国菜是我拥有的最美味和独特的体验。绝对对中国文化有很多尊重。
13715,Ugy86UOIMSstMsKOLNZ4AaABAg,8,"i love watching her cook. you can see when she is handling the food she puts love into it. also the clothes that is makes are inspiring. one of her greatest qualities is the respect and love that she shows her family , all of them. they must be very proud of her i know i would be",我喜欢看她做饭。您可以看到她何时要处理自己的爱。而且，制造的衣服也令人鼓舞。她最大的品质之一是她向家人展示的尊重和爱。他们一定为她感到骄傲，我知道我会
27243,UgwoBK95SLTCe-m60uJ4AaABAg.8zKMCb-XwpB9-42miArLcP,8,"this is from an media interview of her. i read the original interview transcript. unless we think that what she said during the interview was fake, she did deserve a better life and all the respect. i chose to believe her because i have done some of the things shown in her videos while i was young. i could tell that the way she did those jobs is natural and experienced, definitely not fake posing for filming. best wish to this talented, independent and beautiful girl",这是来自她的媒体采访。我读了原始的面试成绩单。除非我们认为她在采访中所说的是假的，否则她确实应该得到更好的生活和所有的尊重。我之所以相信她，是因为我年轻的时候做了她视频中显示的一些事情。我可以说她做这些工作是自然而有经验的方式，绝对不是假装拍摄的假装。祝这个才华横溢，独立和美丽的女孩
43359,UgyLOp9qjWnbL9lQVJZ4AaABAg,8,"such peacefulness, calmness, beauty-roanic corner. thank you, you showed us your world, especially i felt the warmth of your soul and how you respect your elderly relatives, so sweetly.",这样的宁静，平静，美人的角落。谢谢您，您向我们展示了您的世界，尤其是我的灵魂的温暖以及您如何尊重您的老年亲戚。
51794,UgwcXgy5_5V0z9yowoR4AaABAg,8,"you are awesome, wish i had a friend like you.
my respect from vietnam.","你很棒，希望我有一个像你这样的朋友。
我对越南的尊重。"
46647,UgznRayRv0aCLiZInI54AaABAg,7,"those who compare li ziqi and little brother in western yunnan (https://www.youtube.com/chaannel/ucqg_fzadcunbtv1kwjkfaqq/videos?dis? pyright? you must be kidding!
those who compare li ziyi and the little brother in western yunnan are fools. what do they say? copyright blablabla, you must be joking!
these beautiful, smart and hard-working ladies are not competing. they are just directly doing some love, and sharing the beaouth and lovely lighting u. s.
these two smart women are not competing. they are just doing what they like, meaningful things, and then share the beauty of nature and life with us.
we are gathered on the channels because we lovephul nature and wonderful food. some people alway them and say some disgusting words. my opinion is that hard-working peoples are resied everywhere, and those who do nothing and talking bad are the most annoying. (my english is not very good)
we gather on these channels because we love beautiful nature and wonderful food culture. some people always use them to compare them and speak some disgusted words. my point is that the hard -working workers are respected no matter where they are, and those who do nothing to do anything are the most annoying.","Those who compare Li ZiQi and 滇西小哥 (https://www.youtube.com/channel/UCQG_fzADCunBTV1KwjkfAQQ/videos?disable_polymer=1) are fools, copycat? copyright? You must be kidding！
那些把李子柒和滇西小哥进行比较的人都是傻瓜，还说什么模仿者，版权blablabla，你一定是在开玩笑！
These beautiful，smart and hard-working ladies are not competing. They are just doing something they love, and sharing the beauty of nature and lovely lifestyle with us.
这两位聪明能干的女性不是在搞竞争，她们都只是在用心地做着自己喜欢的，有意义的事情，然后和我们一起分享自然与生活的美好。
We are gathered on these channels because we love beautiful nature and Wonderful food culture。Some people always compare them and say some disgusting words. My opinion is that Hard-working peoples are respected everywhere, and those who do nothing and talking bad are the most annoying.（My English is not very good）
我们聚集在这些频道是因为我们爱美丽的自然和美妙的饮食文化，有些人总要把她们拿来比较并说一些让人反感的话语。我的观点是，辛勤劳动者无论在哪里都受人尊敬，无所事事还口吐恶言的人是最让人讨厌的。"
32105,UgxrynY7_Tx2sWQGmDh4AaABAg,7,"iโ€ve watch about 10 of her videos... what can she not do? amazing woman, respect.",我看了大约10个视频...她不能做什么？惊人的女人，尊重。
33867,UgxQ4obKp7Mzrv-Mbi54AaABAg.8vAAkm2tSd492acFTRhwh3,6,"justicefornichole 

i am a 66 year old chinese guy living now in california. i have done a lot of things li ziqi has been showing here when we were forced to go to rural areas during the cultural revolution between 1966 to 1976. 

only difference is that li ziqi does things so much better than us at similar age. 

i am deeply touched, inspired, and most importantly, i am quite motivated, realizing i could learn tremendously from a girl much younger than my child.

ziqi suffered so much in her life earlier and started this all by herself alone, in the beginning. 

and of course she has a team now and no longer working alone . she literally earned everything and deserves it. 

the great majority of the people here are showing respect, admiration and love. 

let us just be nice and kind to one another.","JusticeFornichole

我是一个66岁的中国人，现在住在加利福尼亚。当我们在1966年至1976年之间被迫去农村地区时，我做了很多李齐（Li Ziqi）在这里展出的事情。

唯一的区别是，李齐（Li Ziqi）在类似年龄的情况下做的事情比我们要好得多。

我深深地感动，受到启发，最重要的是，我很有动力，意识到我可以从一个比孩子年轻得多的女孩那里学到很多东西。

Ziqi在她的生活中遭受了很大的痛苦，一开始就独自一人开始。

当然，她现在有一个团队，并且不再独自工作。她从字面上赢得了一切并应得的。

这里的绝大多数人都表现出尊重，钦佩和爱。

让我们变得友善，彼此友善。"
9576,UgzNn8VaZkxE7dJka7R4AaABAg.9H4s9lfme1m9I5vpAJ1XzR,6,"@zeflute4586 when gordon travels he always shows respect for other cultures, that brash attitude is mainly for the us market because that's what sells in the states the shock factor.",@zeflute4586当戈登（Gordon）旅行时，他总是表现出对其他文化的尊重时，野蛮的态度主要针对美国市场，因为这是在州出售的震惊因素。
37457,UgzsUvG2PmI0e-okvcl4AaABAg,6,"it's real filial piety from chinese confucian principle, respect it.",这是中国儒家原则的真正孝顺，尊重它。
51234,UgwjZ1JkNulZFHS2BTd4AaABAg,5,"on earth, a person cannot be more perfect than life and activity in it !!!! a glorious girl, there is no limit to the knowledge of a person, if you really want it, to comprehend tirelessly !!! with a deep sense of respect and gratitude with chechnya.",在地球上，一个人不能比其中的生活和活动更完美！！！！一个光荣的女孩，如果您真的想要一个人的知识没有限制，那么不懈地理解！！！对车臣有深切的尊重和感激之情。
17617,UgzNv4azBWM4KY1hR414AaABAg.97m90yxmeTh983zUWghqzH,5,"heardistance i feel that i am talking about cows and pysteria and ducks. i feel that you don't understand what is the time of the years that many young people are yearning for many young people in china. you even lack some basic respect and education of foreign culture. what do you want to show here and what people want to show here to share the idyllic life. you talk to me here about me, japan and south korea ... does it have anything to do with me? is it related to this video?",heardistance 我感觉我在对牛谈琴 鸡同鸭讲 我感觉你根本就不懂什么叫意境 中国很多年轻人向往的岁月静好 你甚至缺乏一些基本的对外来文化的尊重和教养 还有这个姑娘在这里想表现什么和你想在这里表现什么 人家分享田园生活 你在这里跟我谈美国日本韩国...跟我有关系吗？跟这个视频有关系吗？
7566,UgxQOPLmIyi3IGy2-Fx4AaABAg,5,"a very beautiful and caring video... having the greatest respect for seniors within the family! talented beyond comparison to the west. unbelievable insight, and a deep empathy one can only vision in the east! 
i couldn't wait to subscribe to an artist able to see beyond today! 
i was blessed with my wife similar to her but, now senior... may she continue her life's dream!","一个非常美丽和关怀的视频...对家庭中的老年人表示最大的尊重！与西方相比，有才华。令人难以置信的见识，深刻的同理心只能在东方视而不见！
我迫不及待地想订阅一位能够看到今天以外的艺术家！
我很幸运，我的妻子与她相似，但是现在，大四...愿她继续生活的梦想！"
5766,UgxoCczcZ1pmul3vujF4AaABAg,5,"you are such an amazing young woman. i loved watching your videos. they are so inspiring. i just have so much respect for what you do, how you live and for the love you have and show your grandmother. i would love to spend time there. it's so beautiful. blessings to you and your family.",你真是个了不起的年轻女人。我喜欢看你的视频。他们是如此鼓舞人心。我只是对您的工作，生活方式和爱的爱以及向祖母展示的尊重。我很想在那里度过时光。这个很漂亮。祝福您和您的家人。
38937,UgyEv8IhzxnS3WaSH3x4AaABAg,5,"she is such a strong and inspiring woman..........
my respect for her is over the top now","她是一个坚强而鼓舞人心的女人..........
我对她的尊重现在已经超过了"
43564,UgyupX55LjEryDV29sx4AaABAg,4,1st time i watch your 2 vedio but both account are fake i think this one is real? i subscribe your channel love and respect from pakistan,我第一次看您的2个vedio，但两个帐户都是假的，我认为这是真实的？我从巴基斯坦订阅您的频道爱和尊重
37948,UgzDRgeKg_1veALBok14AaABAg,4,respect from saudi arabia ๐ธ๐ฆ โค๏ธ,尊重沙特阿拉伯
36120,UgwW3M4OGiY8vVG8u3x4AaABAg,4,"what a pretty woman .... what a beautiful place .... my admiration and respect.
i would like such a wife for me. blessings","多么漂亮的女人....真是一个美丽的地方。...我的钦佩和尊重。
我想要这样的妻子。祝福"
31276,UgysmF-NSAD-BAMa1dt4AaABAg,4,"*i donโ€t know why but 5:26 - the whole sequence with โ€โ€uncleโ€โ€ (iโ€m not sure itโ€s biological uncle since itโ€s common to refer to adults (weโ€re close to) -round our parentsโ€ age as โ€unclesโ€ or โ€auntsโ€ out of respect. 

the whole sequence just feels cute and magical - something so simple like gathering round to pop popcorn can be so warm and exciting. it really makes you feel that how you live your life and how you interact with the world and people can really influence the joy and happiness you can get from it.*","*我不知道为什么只有5:26-与'叔叔'的整个顺序（我不确定这是生物叔叔作为“叔叔”或“阿姨”出于尊重。

整个序列感觉很可爱和神奇 - 如此简单的事情，例如聚集到爆米花爆米花可能是如此热情和令人兴奋。这确实使您感到自己的生活以及与世界的互动方式，人们可以真正影响您可以从中获得的快乐和幸福。"
39606,UgwThFmMPsiP5y6QjsF4AaABAg,4,"as an american who is proud of his home, i say with all due respect, your home is gorgeous. to have access to all the fruit and nature. you are very lucky.",作为一个为自己的家而感到自豪的美国人，我以应有的尊重说，您的家很漂亮。能够获得所有的水果和自然。你很幸运。
12675,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9EHTIp9uRIe,4,even tho i watch chinese drama i don't like china because they don't respect the muslims.,即使是我看中国戏剧，我也不喜欢中国，因为他们不尊重穆斯林。
17426,Ugw5Ba080mqK5-1G4e54AaABAg,4,"this beautiful young woman is incredible in addition to being beautiful is a woman who makes everything very good.
the truth would be the ideal woman for any good man to value and respect her.
what a great admiration i feel for her.
i send you blessings","这个美丽的年轻女子除了美丽之外，还令人难以置信，这是一个使一切都很好的女人。
事实将是任何好男人重视和尊重她的理想女人。
我对她的钦佩真是太钦佩了。
我给你祝福"
32058,UgwlrcsnlxBK_XQhCXd4AaABAg.8vztA6WkhKN8wX4qAJLKQL,3,ms.joon guy mane at this point iโ€m not even surprised i found an army in the comments. but agreed she treats her grandma with so much respect it makes me smile.,此时，乔恩·盖伊·曼恩（Joon Guy Mane）女士什至不感到惊讶，我在评论中找到了一支军队。但是同意她对奶奶非常尊重，这让我微笑。
6054,UgxbTHAT3WGqmCFZm9R4AaABAg,3,my respect for this woman is an example to follow,我对这个女人的尊重就是跟随
6872,UgyreNtMVZQeXrquvRZ4AaABAg.9Kum6K17yQD9LD54kk46Zh,3,"@crabvakho please say with evidences instead of making assumptions. why is it so hard for you to show so,e respect and appreciate her work? it’s not that hard....",@crabvakho请用证据而不是做出假设。为什么您这么困难地表现出来，尊重和欣赏她的工作？并不难...
5129,Ugw9zY_rn7gqC-jQ-e94AaABAg,3,"thank you very much to the author for these films! amazing !!! .. all !!! what a beautiful girl, and what a clever man-master !!! i am delighted !!! .. i subscribe and watch all your films ... i get great pleasure from views and, of course, i discovered a lot for myself, spied on .. and this girl of happiness, a good husband and children ... my respect ...",非常感谢作者的这些电影！太棒了！！！！！电影...我从景色中得到了极大的荣幸，当然，我为自己发现了很多，窥视了。
46665,UgznRayRv0aCLiZInI54AaABAg.8qs_TK17Zu78qsckUcmDJN,3,"for those who say li ziqi fake at the little brother channel of western yunnan, i want to add a few words. first of all, starting from a large level, they made excellent videos to share with people who love food culture around the world, so that more people understand the beauty of chinese culture. do you have done it? just vomit the sputum of other people's works in a casual sentence, and feel that some cooperation with the merchant defile your eyes? then, take a step back to talk about video production. which one should not take care of the mirror editing in the later stage? critics, do you spend money to watch the video? no. did you participate in the video production? no. you respect the efforts and choices of others. not only are there no, but you are also whispering, yin and yang weird, where can people do not do well, go to weibo to give opinions! didn't you change your opinion? take your own business! have nothing to do? brother, so many traitors around them, hurt the world, care about them! intersection intersection take a step back, these critics have not criticized the ideas at all, many of them are still catching the wind, and the clouds are also cloudy. when you make a criticism next time, you ask yourself a word. what do i make in my own criticism? i said in this way, what does it mean for others? did i have a negative impact on the perception experience of others (those who want to be calm and cured)? it's all adults, so mature, please! intersection intersection intersection intersection",针对在滇西小哥频道底下说李子柒假的人我想特别补充几句。首先，从大的层面开始讲，她们做出了优秀的视频与全世界热爱美食文化的人们分享，让更多的人了解了中华文化的美好。批评者们你们做到了吗？随随便便一句话就吐别人作品一口痰，觉得和商家的一些合作玷污你们的眼了？然后，退一步说视频制作，讲究值得赞叹的分镜剪辑后期哪个不要花心思？批评者们你们花钱看视频了吗？没有吧。你们参与视频制作了吗？没有吧。你们尊重别人的努力和选择了，不仅没有，还窃窃私语，阴阳怪气，人家哪里有做的不好的，去weibo提意见啊！提意见了没改？取关做自己的事去啊！没事情做？大哥，周围那么多作奸犯科的，伤天害理的，管他们去呀！！！再退一步说，这些批评者完全就没批评到点子上，很多还是捕风捉影，人云亦云，你们下次再提出批评的时候问自己一句话，我在批评的过程中我自己做出的贡献是啥？我这样在下面说别人的不是意义何在？我有没有给别人（那些希望得到平静与治愈的人们）的观感体验带来负面影响？都是大人了，成熟一点拜托了！！！！！
871,UgzUbBhuVy5emo55GfN4AaABAg,2,we miss your new videos. can you again start giving videos? your content are really worthy of appreciation. respect you for being soo hard working. such a talented soul i have ever came across in my life. words are not enough to praise your talents and creativity.,我们想念您的新视频。您可以再次开始给视频吗？您的内容真的值得赞赏。尊重您的努力工作。我一生中遇到过的一个才华横溢的灵魂。言语不足以赞美您的才能和创造力。
19769,UgzmQ-ENkjs0c6wmtyh4AaABAg.95Jnp0OjZJ095R7GBH7pyV,2,"@dantechersi6056 i agree. i am not vegan or vegetarian, but i do have animals of my own. also a garden/farm. it will be hard the day i will have to kill my chickens or ducks for our own meal. just as liziqi does, i would pay my respects to that animal for giving me it's life to continue my own.",@dantechersi6056我同意。我不是素食主义者或素食主义者，但我确实有自己的动物。也是花园/农场。我将不得不杀死自己的鸡或鸭子来做自己的饭菜会很难。就像利兹奇所做的那样，我会尊重那只动物，因为它给了我自己的生命。
20728,UgwwfTBnNim6ToHmCql4AaABAg,2,something i really respect and love about her is how she treats her grandmother with love and care. thats something a i am terrible at (treating others well),我真正尊重她的东西是她如何用爱与关怀对待祖母。那是我很糟糕的事情（很好地对待他人）
31812,UgzcDGmwt1euCQoVgAx4AaABAg,2,huge respect for this woman. when will the western feminism learned?,对这个女人的极大尊重。西方女权主义什么时候才能学会？
31485,Ugx45WaUplnOKtWmMUt4AaABAg,2,"this woman is hard working.
#respect","这个女人很努力。
＃尊重"
28265,UgxwOQqpkeX3F4zaFH54AaABAg,2,"dear lizigi, i have been watching your video, i appreciate your respect for nature, because it brings you healthy food, and i will not speak chinese, i will focus on preparing your recipes to prepare your recipes above, whether food or food embroidery. although we all have problems, i think they are very happy. congratulations to your care and care for grandma. god bless you. by the way, i am from brazil. except for living in the uk for several years, i only know some countries from europe. forgive my chinese writing, it is my first time","亲爱的Lizigi，我一直在看你的视频，我很欣赏你对大自然的尊重，因为它为你带来健康的食物，而且我不会说中文，我会把注意力集中在准备你的食谱上，无论食物还是美食 刺绣。虽然我们都有问题，但我认为他们住的地方很开心。恭喜您对奶奶的关心和照顾。上帝保佑你。顺便说一句，我来自巴西，除了在英国生活了几年之外，我只认识一些来自欧洲的国家。 Forgive my chinese writing, it is my first time"
31172,Ugya7qXwjL47BST99bx4AaABAg,2,"how lovely you are and your works โคโค i really feel lucky to see youโคโคโค
love and respect form bangladesh ๐","你有多可爱，你的作品我真的很幸运见到你❤❤❤
爱与尊重形式孟加拉国"
22917,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192tgLO8PJmq,2,"jongson ho sure, its not right to try and refrain these people from eating the dogs if they desire, but it doesnโ€t mean i have to respect it internally or condone it. i can accept that they do it, itโ€s their life not mine, but i have the choice of hating them for it. do you think that people who kill each other or do something ridiculous too have the deserve for respect? maybe in some situations, but that doesnโ€t stop the judgement.",Jongson Ho确定，如果他们愿意的话，试图避免吃这些狗的人是不合适的，但这并不意味着我必须在内部尊重它或宽容它。我可以接受他们这样做，而是他们的生活不是我的，但是我可以选择讨厌他们。您是否认为彼此杀害或做可笑的人也应得的尊重？也许在某些情况下，但这并不能阻止判断。
32517,Ugw_2R-ouQ3OH2y104F4AaABAg,2,"you chinese people are so smart and you guys create awesome things. i respect that ๐๐๐’–๐’–. not only that but you guys are simple, i love it ๐คฃ๐คฃ๐’•. my life and environment is nothing compared to this, here it is ugly but where you life so vibrant and beautiful ๐๐",你们中国人是如此聪明，你们创造了很棒的东西。我尊重那个。不仅如此，你们很简单，我喜欢它。与此相比，我的生活和环境没有什么，这里很丑陋，但是您生活如此充满活力和美丽的地方
25543,Ugz-VvtvGJWZUTGH8RF4AaABAg,2,"she is the most talented woman ๐‘ฉ 
i respect you and i hope you would be happy forever!!
sorry for my easy english because i am japanese","她是最有才华的女人
我尊重你，希望你永远幸福！
对不起，我的英语简单，因为我是日本人"
12677,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9EMBDPJu9MW,2,natural vibes i respect them...(actually i respect almost everyone),自然的共鸣，我尊重他们...（实际上我尊重几乎每个人）
12676,UgwT1gDAxj3u5Py3Xn14AaABAg.9Cu4gC8q40r9EHYNtYY9fO,2,@user-sg2yh7ln5c i respect you,@user-sg2yh7ln5c我尊重你
22915,Ugy4QKtD9cbzrOoUVFd4AaABAg.92dymxS8pg192teQRhI_ns,2,"jongson ho the value that dogs give is different to a cow which we donโ€t measure by โ€usefulnessโ€, i canโ€t even imagine to be as unempathetic as someone who has this kind of thinking. the only creature in this world that can love you more than it loves itself is a dog, and because you like to put humans on a high pedestal, i think dogs deserves to sit on one beside us for their companionship. ok then, by your logic, if we canโ€t call this thing that kills 3000 of us each year (most probably by accident) a friend, then what about the 400,000 who die from murders every year by people? what can you do? iโ€m sure they donโ€t respect you either.",Jongson Ho狗给出的价值与我们无法通过“有用性”来衡量的母牛不同，我什至无法想象与具有这种思想的人一样无情。这个世界上唯一可以爱你的生物比自己喜欢的是一只狗，因为您喜欢将人类放在一个高的基座上，所以我认为狗应该坐在我们旁边的一个人身边进行陪伴。好吧，通过您的逻辑，如果我们不能称这件事每年杀死我们3000人（最有可能是偶然）的朋友，那么每年被人们谋杀而死于谋杀案的40万人呢？你能做什么？我敢肯定他们也不尊重你。
43344,UgxylvOA7yK-yug573R4AaABAg,2,"wonderful video you are a very diligent woman, all your products look delicious, i entrust all my respects to you.",精彩视频你是一个非常勤奋的女人，你所有的产品看起来都很美味，我把所有的敬意都委托给你。
48308,UgzuMcehyeQzM47vS094AaABAg,2,"her grandma hat is so cute! respect for you, really a hard worker! love your videos!",她奶奶的帽子真可爱！尊重您，真的是一个勤奋的人！爱你的视频！
48392,UgzWRYXgVqoDqwQ1CSx4AaABAg,2,"matep ..
i am chinese descent but not all of them i understand. this is miss again preparation for welcoming the chinese new year. the tradition of making cakes and snacks ahead of the chinese new year is super busy. yep ... all the culture of other parts of the world will also be busy if it is approaching or welcoming the day of the celebration according to their respective traditions.
specifically in this video, traditions and recipes are indeed innate from our ancestors. but of course not all we can make in my beloved indonesia, because not all the materials used in our ancestors are in the land of indonesia. so we replace it with local materials. and it turns out it doesn't feel like it is worse. and more importantly is the essence that is ...
in our country indonesia even has more variety of traditions and culture, our land also produces extraordinary variety of agricultural products. we can be proud as asian nations and of course especially indonesia.
i admit that miss li is very extraordinary to show the world how beautiful the country, tradition, culture, etc.
i really hope there is a figure like miss li in indonesia, so that the world will see the way we make rendang, chicken opor, bamboo lemang, etc. .. certainly will make the world amazed.
greetings from pekanbaru.","matep ..
我是中国血统，但我了解的不是所有人。这再次是为欢迎农历新年的准备。在农历新年之前制作蛋糕和小吃的传统非常忙。是的...如果根据各自的传统接近或欢迎庆祝活动的那一天，世界其他地区的所有文化也将很忙。
特别是在此视频中，传统和食谱确实是我们祖先的天生。但是，当然，我们在我心爱的印度尼西亚并不是所有的东西，因为并非祖先中使用的所有材料都在印度尼西亚之地。因此，我们用当地材料代替它。事实证明，它并没有更糟。更重要的是...的本质是...
在我国，印度尼西亚甚至拥有更多种类的传统和文化，我们的土地也生产出非凡的农产品。我们可以为亚洲国家，尤其是印度尼西亚而感到自豪。
我承认，李小姐非常非同寻常，向世界展示国家，传统，文化等多么美丽。
我真的希望有一个像印度尼西亚的李小姐这样的人物，这样世界将看到我们制作鸡，鸡肉，竹子莱蒙等的方式。肯定会让世界惊讶。
佩坎巴鲁的问候。"
26102,Ugxwn52QXnIJzCSmdOt4AaABAg,2,respect from bulgaria. you are amazing ๐’๐’๐’๐’,尊重保加利亚。你很棒
