,cid,votes,time,含traditional,含traditional中文翻译
8071,UgxIa2BUK26ZkulsMjx4AaABAg,10,2 years ago (edited),"growing in a rural area, my hometown (iloilo philippines) i knew almost of the ingredients she uses and seen those in person. the method of how she prepares food is also not a surprise as we do the same thing in my hometown, it's just that the recipe is different. but i love how she promotes classic chinese cuisine๐’
i'm proud being raised in a rural area, being not an 'alien' to these kind of traditional life, tho now i'm working in the city and foreign country..","我的家乡（菲律宾伊洛伊洛）在农村地区生长，我几乎知道她使用的成分，并亲自见到了这些成分。她如何准备食物的方法也不令人惊讶，因为我们在我的家乡做同样的事情，这只是食谱不同。但是我喜欢她如何推广经典中国美食
我很荣幸在农村地区长大，不是这种传统生活的“外星人”，现在我在城市和国外工作。"
18367,UgxpX6jBZCN6pF96El54AaABAg,5,3 years ago,"although the method of the method is different from our traditional snail powder, thank you for making it so poetic, and thank you for using the correct pronunciation! every time i heard others say luo shi fen, i feel responsible for science.",虽然做法工序跟我们传统的螺蛳粉有所不同，但谢谢你把它变得如此诗意，更谢谢你用了正确的发音！每次听到别人说luo shi fen 我都觉得有责任科普一下 那字读si
4519,UgxL_0OtXoltHkHJnHJ4AaABAg,5,2 years ago,"south korea has always been a colonial in history and ruled their clan (china, japan, japan, the united states). when they are in a good mood, they will give them some clothes and food. now, ridiculous and ignorant korean people claim that it is their culture. kimchi has always been the most inconspicuous low -grade food on the chinese dining table. if the guests are allowed to eat kimchi, they will be considered extremely polite, and the poor koreans will be treasured after getting the kimchi that they get the racket, claiming that this is the greatest food of the korean nation. what you see now, koreans claim that they are their own traditional culture clothes, food, architecture, festivals, etc. (mainly china, and japanese sushi has been stolen by koreans). i suggest that koreans apply for the inventor of the universe from the united nations.
한국은항상역사상식민지였으며주권국가(중국, 일본, 미국)는기분이좋을때옷과음식을줄것입니다. 이제말도안되게무지하고열등한한국인들은그것이그들의문화라고주장합니다. 김치는항상중국식탁에서가장눈 이었습니다 이었습니다 음식 손님. 음식 음식, 건축, 건축, 축제 등 은 기본 으로 주권 국가 온 온 것 입니다 입니다 입니다 입니다 것 것 입니다 입니다 것 입니다 것 입니다 것 것 입니다 입니다 (주로 중국 일본 스 시도 한국인 에게 도난당 했습니다).
south korea has always ben a color in history, and their sovereign states (china, japan, and the united states) will give them some clothes and food when are in a good mood. now, ridiculously ignorant and inferior koreans claim that it is their culture. kimchi has always ben the most inconspicuous low-end the chinese table. it would be considered extremely impolite to let guests ear chi. poor koreans we like treason after receiving the donated kimchi, claiming that it is the guatest food food of the korean national. as you can see now, the clothes, food, architecture, festivals, etc. that koreans claim to be their own culture are basely f rom the sovereign country (mainly china, japanese sushi has also been stolen by koreans). i suggest that koreans apply to the united nations to become the inventor of the universe.
in the history of korean 歴 に は は であ であ り, the main nation of the main nation (china, japan, and mi) は, 気 い い い い い に や や べ べ し し し し し し し ます し. today, 知 て て っ っ っ korean people は それ それ ら の の の の と と と し し し ます し.の に に で の は で で で も も も な な な い ロ ロ ン ド の べ べ で し た で し たさ さ べ べ せる は は は は に に に に と と と と え え え し し し し い は は は さ れ れ を け け の の の の ようで ようで ようで の の の の の べ べ べ べ と し し し た.の とお 韩 韩 韩 韩 韩 韩 韩 韩 が が の の 伝 伝 と と と と と と と と と と と と と と と する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する する ご覧 ご覧 する ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ご覧 ” to. private 人 korean 宇 の の 発 発 る な る ため ため ため に に に に する する こと proposal.
hàn queốc luốn là thuộcđịa tronlong lịch sử, và các queốc gia có chủn củan của họ (trung queốc, nhật bản, hoa kỳ) sẽp chhep cho họt sốt sốn áo vực phẩm kẩm kẩm k hi họcó tạm trạng thoải mái. giờ g, nh nng người hàn queốc thiếu hiểu biết và thấp kém một cách lốch chól rằ yng àn hóa của họ. kim chi luôn là món ăn thấ thấyyyyyyyyyyn bà n ăn của ngủi trung quốc. việc cho khách ăn kim chi sẽ bẽ coi là vị cùng bất lịch sự. nhưbạn có thể thấyy bây giờ, queần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người hàn queốc tựn hóa truyền thốnte của h h h ọ v ơ cề bản là t ướt nước có chủ chủ quyền (chủ yếu là trung queốc, sushi của nhật bản cũng đã bị người hàn queốc đ đ đ đ). queởc để trà thành nhà phát minh ra vũ trụ then, then

corea del siempre ha sido una colonia en la historia, y sus estados sobernos (china, japón, estados university) les darán algo de ropa yando estén de bu en humor. ahora, los coreanos ridículamente ignarantes e inferiores afirman que es su cultura el kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. se considraría extremadamene descortés dejar quel los invitados comten kimch kimch i.los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que el mejor aljor alimento de la nación coreana. como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultics el país soberano (principalmente china, el sushi japonés también ha sido robado por coreanos). sugiero que los coreanos soliciten a las naciones unidas convertering en los inventores del university.

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة سيكون سيكون الصينية الصينية. أنها أنها الكوريون ثقافتهم التقليدية التقليدية بهم هي أساسًا من الدولة (بشكل رئيسي الصين ، وقد سرق سرق الياباني الياباني الياباني).","韩国在历史上一直是殖民地，统治他们的宗主国（中国，日本，美国）心情好了会给他们一些衣服，食物。现在，可笑 无知 自卑 的韩国人声称那是他们的文化。泡菜一直是中国人餐桌上最不起眼的低档食物。要是让客人吃泡菜会被认为是极端没有礼貌的行为，可怜的韩国人在拿到施舍的泡菜后如获至宝，声称这是韩国民族最伟大的食物。你现在看到的，韩国人自称是他们自己的传统文化的衣服，食物，建筑，节日等等基本都是来自宗主国的（以中国为主，日本的寿司也遭到了韩国人的偷窃）。我建议韩国人向联合国申请成为宇宙的发明者。 
한국은 항상 역사상 식민지였으며 주권 국가 (중국, 일본, 미국)는 기분이 좋을 때 옷과 음식을 줄 것입니다. 이제 말도 안되게 무지하고 열등한 한국인들은 그것이 그들의 문화라고 주장합니다. 김치는 항상 중국 식탁에서 가장 눈에 띄지 않는 저가 음식이었습니다. 손님에게 김치를 먹게하는 것은 극도로 무례한 일로 여겨지며, 가난한 한국인들은 김치를 기증받은 후 한국 국민 최고의 음식이라고 주장하며 보물과도 같았다. 지금 보시다시피, 한국인이 자신의 전통 문화라고 주장하는 옷, 음식, 건축, 축제 등은 기본적으로 주권 국가에서 온 것입니다 (주로 중국, 일본 스시도 한국인에게 도난당했습니다). 저는 한국인들이 우주의 발명가가되기 위해 유엔에 지원할 것을 제안합니다. 
South Korea has always been a colony in history, and their sovereign states (China, Japan, and the United States) will give them some clothes and food when they are in a good mood. Now, ridiculously ignorant and inferior Koreans claim that it is their culture. Kimchi has always been the most inconspicuous low-end food on the Chinese table. It would be considered extremely impolite to let guests eat kimchi. Poor Koreans were like treasures after receiving the donated kimchi, claiming that it is the greatest food of the Korean nation. As you can see now, the clothes, food, architecture, festivals, etc. that Koreans claim to be their own traditional culture are basically from the sovereign country (mainly China, Japanese sushi has also been stolen by Koreans). I suggest that Koreans apply to the United Nations to become the inventor of the universe. 
韓国は歴史上常に植民地であり、主権国家（中国、日本、米国）は、気分が良いときに服や食べ物を提供します。今、ばかげて無知で劣った韓国人はそれが彼らの文化であると主張します。キムチは常に中国の食卓で最も目立たないローエンドの食べ物でした。キムチを食べさせるのは非常に失礼だと考えられ、貧しい韓国人は寄付されたキムチを受け取った後の宝物のようで、韓国の最高の食べ物であると主張した。ご覧のとおり、韓国人が自国の伝統文化であると主張する衣服、食べ物、建築、お祭りなどは、基本的に主権国のものです（主に中国、日本の寿司も韓国人に盗まれています）。私は韓国人が宇宙の発明者になるために国連に申請することを提案します。 
Hàn Quốc luôn là thuộc địa trong lịch sử, và các quốc gia có chủ quyền của họ (Trung Quốc, Nhật Bản, Hoa Kỳ) sẽ cung cấp cho họ một số quần áo và thực phẩm khi họ có tâm trạng thoải mái. Giờ đây, những người Hàn Quốc thiếu hiểu biết và thấp kém một cách lố bịch cho rằng đó là văn hóa của họ. Kim chi luôn là món ăn thấp kém dễ thấy nhất trên bàn ăn của người Trung Quốc. Việc cho khách ăn kim chi sẽ bị coi là vô cùng bất lịch sự. Như bạn có thể thấy bây giờ, quần áo, thức ăn, kiến ​​trúc, lễ hội, ... mà người Hàn Quốc tự xưng là văn hóa truyền thống của họ về cơ bản là từ đất nước có chủ quyền (chủ yếu là Trung Quốc, sushi của Nhật Bản cũng đã bị người Hàn Quốc đánh cắp). Tôi đề nghị người Hàn Quốc nộp đơn lên Liên Hợp Quốc để trở thành nhà phát minh ra vũ trụ. 

Corea del Sur siempre ha sido una colonia en la historia, y sus estados soberanos (China, Japón, Estados Unidos) les darán algo de ropa y comida cuando estén de buen humor. Ahora, los coreanos ridículamente ignorantes e inferiores afirman que es su cultura. El kimchi siempre ha sido la comida de gama baja más discreta en la mesa china. Se consideraría extremadamente descortés dejar que los invitados comieran kimchi.Los coreanos pobres eran como tesoros después de recibir el kimchi donado, afirmando que es el mejor alimento de la nación coreana. Como puedes ver ahora, la ropa, comida, arquitectura, festivales, etc. que los coreanos dicen ser su propia cultura tradicional son básicamente del país soberano (principalmente China, el sushi japonés también ha sido robado por coreanos). Sugiero que los coreanos soliciten a las Naciones Unidas convertirse en los inventores del universo. 

لطالما كانت كوريا الجنوبية مستعمرة في التاريخ ، وستمنحهم دولهم ذات السيادة (الصين واليابان والولايات المتحدة) بعض الملابس والطعام عندما يكونون في مزاج جيد. الآن ، يدعي الكوريون الجاهلون بشكل يبعث على السخرية أن هذه هي ثقافتهم. لطالما كان الكيمتشي أكثر الأطعمة منخفضة الجودة غير الواضحة على المائدة الصينية. سيكون من غير المهذب للغاية السماح للضيوف بتناول الكيمتشي ، فقد كان الكوريون الفقراء مثل الكنوز بعد استلام الكيمتشي المتبرع به ، مدعين أنه أعظم غذاء للأمة الكورية. كما ترون الآن ، الملابس ، والطعام ، والهندسة المعمارية ، والمهرجانات ، وما إلى ذلك ، التي يدعي الكوريون أنها ثقافتهم التقليدية الخاصة بهم هي أساسًا من الدولة ذات السيادة (بشكل رئيسي الصين ، وقد سرق الكوريون السوشي الياباني أيضًا). أقترح أن يتقدم الكوريون إلى الأمم المتحدة ليصبحوا مخترعي الكون."
24565,UgxSUie0_w4xYaV_-v14AaABAg,4,3 years ago,"what i love about ziqi most is she shows lots of good qualities of many traditional chinese women, resilient, supportive, gentle, caring, strong and hardworking.",我最喜欢Ziqi的是她表现出许多传统的中国女性的良好品质，这些女性有韧性，支持，温柔，关怀，坚强和勤奋。
7144,Ugw-o282MUl61tO4u6N4AaABAg,4,2 years ago,"the one thing about various cultures and their traditional foods that i continue to not understand is how it ever really began in the first place. 

when you look at cultures that eat some rather unusual foods that for others seems ""gross"" or ""weird"" (snails, frogs, insects, etc) and they dont seemingly exist in a place where there exists a complete lack of options the question becomes ""why?"" 

i mean can you imagine the first guy who was sitting on a riverbank one day and said, either to himself or someone nearby, ""ya know what? i am gonna go eat that snail"" or the first person to say ""boy that frog looks yummy and i bet its legs would be tasty"". i should also point out that in chinese the word for frog (when you are using the term in the context of being a food, at least) basically translates into ""field chicken"". specified the context because it has other names just like most things do based on the context of the discussion.","我继续不了解各种文化及其传统食物的一件事是，它首先是如何真正开始的。

当您查看吃一些相当不寻常的食物的文化时，这些食物似乎“粗糙”或“怪异”（蜗牛，青蛙，昆虫等），它们似乎并不存在于存在完全缺乏选择的地方，问题就变成了问题。 “为什么？”

我的意思是，您能想象有一天坐在河岸上的第一个人对自己或附近的人说：“你知道吗？我要去吃那蜗牛了”或第一个说“青蛙看起来的男孩好吃，我敢打赌它的腿会很美味”。我还应该指出，在中文中，青蛙一词（至少在作为食物的背景下使用该术语时）基本上会转化为“野鸡”。指定上下文，因为它具有其他名称，就像大多数事情一样，基于讨论的上下文。"
2672,UgzU5PVILKZHy5JH45p4AaABAg,4,1 year ago,"liziqi is like mulan in the millennium. living in the village in a simple way to maintain the beauty of traditional values. keep on inspiring. greetings of success from us lovers of #seblaqs (sukabumi, sept 2021)",Liziqi就像千年中的Mulan一样。以一种简单的方式生活在村庄，以保持传统价值观的美丽。继续鼓舞人心。 #Seblaqs恋人的成功问候（Sukabumi，2021年9月）
18400,UgwdzQh2Ul3-G5iLe_F4AaABAg.92VpQGNVRRm92kkDc_QAQB,3,3 years ago,"i knew at a glance that this must be a very professional team, but it still does not affect my view of her video. can you ask a small fresh meat or a traffic star in china, can you shoot this effect? ​​ziyi is obviously really very powerful in these traditional techniques.",我一看就知道这肯定是有很专业的团队，但仍然不影响我对她视频的看法。试问你在国内请个小鲜肉或者流量明星能拍出这种效果吗? 子柒很明显是真的在这些传统技艺上特别厉害
3098,UgxK7tTx9vC9pt59mmJ4AaABAg.9Pk50gyAGkX9VC3xXauppF,3,1 year ago,"@user-xf9er7dm9z ordinary rural real life is not so poetic, but it is indeed the epitome of my life when i was a kid. the current life is gradually western and fast-paced. they are all profitable for chasing their names, leading to the gradual changes in the traditional lifestyle.",@user-xf9er7dm9z 普通的农村真实生活没有这么诗意，但确实是我小时候生活的缩影，现在的生活逐渐西化，快节奏，但四川和江南地区仍保留传统的生活方式，如今的社会太浮躁，人们都在为追名逐利，导致传统的生活方式逐渐改变。
15498,UgxpSmJXGUdxsrqLpTx4AaABAg,3,3 years ago,"it is very calming and relaxing to watch. i like how she preserved traditional craftsmanship and many more. but it is impossible to live like this. you will need to hire a team of gardener, makeup artist, chef, and housekeeper...",观看这是非常平静和放松的。我喜欢她保留传统工艺的方式等等。但是不可能这样生活。您需要雇用一支由园丁，化妆师，厨师和管家组成的团队...
9030,UgzhzWVbJJOaHS4REKt4AaABAg.9AX5_LiL_FU9AhVhlsJb9J,3,2 years ago,"rl rwngle 
good points thank you. honestly i havenโ€t been to india or russia and my observations were totally based on my personal impressions. what i really wanted to present was an interesting difference in attitudes towards life, and my own understanding to a traditional chinese lifestyle. and i understand there are such differences and similarities between every two cultures. thank you for pointing out.","rl rwngle
好点谢谢你。老实说，我没有去过印度或俄罗斯，我的观察完全是基于我的个人印象。我真正想提出的是对生活的态度和对中国传统生活方式的理解的有趣差异。我知道每两种文化之间存在这种差异和相似之处。谢谢您指出的。"
11399,Ugx-5d2aAZv1U6QtBMx4AaABAg.97aDyK3ahgD97q6VOs8UA7,2,3 years ago,@geekbg2003 actually you are right and i just did.. i stand correct. her net worth is over 8.7 million.. that traditional farmhouse is as real and functional as a movie set..,@geekbg2003实际上你是对的，我只是做到了。她的净资产超过870万..那个传统的农舍与电影套装一样真实和实用。
13422,UgwkIaSwezAbMibO7Td4AaABAg,2,3 years ago (edited),2:50 awww kitties! and this is a wonderful eeeeeee!!!!!!! this is the traditional way to cook and how to live in the countryside. so relaxing!,2:50 awww kitties！这是一个很棒的eeeeeee !!!!!!!这是传统的烹饪方式以及如何在农村生活。如此放松！
4863,UgyFthJ6kfkaAiGWFQt4AaABAg,2,2 years ago,"kimchi is a traditional korean food.
kimchi is the traditional food of korea.
ム 韓 韓 韓 の 伝 伝。。。

the chinese have long been calling arirang (korean traditional music) and hanbok (korean traditional clothing) as china.
the chinese has long inseded that arirang (traditional korean music) and hanbok (traditional korean clothes) belong to china.
「中国 人 ン ン ン ン ン ン ン 韓 韓 韓 韓 韓 韓 韓 ン ン ン ン ン ン ン の の の 中 中 中 の の の の の だ の の の の の の て。。。

kimchi is already certified in 2001 in the international standardization organization (iso) and is different from recently registered pao chai (pickled food in sichuan).
kimchi is alredy certified by the international organization for standardization (iso) in 2001 and is different from the recently registered paochai (celebrated food in in sichuan).
ム 2001 年 証 証 証 録 録。。。。。","泡菜是传统的韩国食品。
泡菜是韩国的传统食物。
ムム韩韩伝伝伝

长期以来，中国人一直将Arirang（韩国传统音乐）和汉堡（韩国传统服装）称为中国。
长期以来，中国人一直认为阿里兰（传统的韩国音乐）和汉伯克（传统的韩国服装）属于中国。
「ンンンンンン韩韩韩韩韩韩ンンンンンンンンンンンンンののののの中中中中中中の

Kimchi已经在2001年获得国际标准化组织（ISO）的认证，与最近注册的Pao Chai（Sichuan的腌制食物）不同。
Kimchi在2001年获得国际标准化组织（ISO）认证的Alredy认证，与最近注册的Paochai（Sichuan的著名食品）不同。
2001年年年证录录录录"
33515,Ugxzr2qQOspcD9LbGiB4AaABAg.8yUafEOIJ_w8yUtt0RUMXh,2,3 years ago,"osborne u must eat western-chinese food,that’s not the traditional chinese food ,we didn’t put the sauce into the cuisine.never",奥斯本你必须吃西方美食，那不是传统的中国食物，我们没有把酱汁放入美食中。
26714,UgwlP4zvqpIJ16mJXQx4AaABAg,2,3 years ago,hi i'm from india i'm addicted to your video not only me my daughter too we love u r village and your hardwood i want to know your village name if i can one day i want meet you thank you so much for showing you traditional lifestyle,嗨，我来自印度，我沉迷于您的视频，不仅是我的女儿，我们也爱你村和你的硬木，我想知道你的村庄名称，如果我有一天我想见你，我非常感谢你向你展示传统生活方式
25488,UgyQ7V9k4yRRiJ7Ynxd4AaABAg,2,3 years ago,"such a fake and romanticized image of countryside life! grandma, traditional means of cooking, growing all ingredients, always clean and wearing make up... your team is professional!",如此伪造的乡村生活形象！奶奶，烹饪的传统手段，种植所有食材，总是干净且穿着化妆...您的团队是专业的！
21618,UgwNYKWncE0UAAnbDt94AaABAg,1,3 years ago,"i like this way to show the cooking lessons : beautiful garden , beautiful vegetables, beautiful young (?) woman in a beautiful traditional old house of nowhere in china...
a lot of work for this inspiring videos- this is living museum !
how many gardeners,designers, and the film -team of the scenario are busy for one video?
but it doesn't matter, we love you, making us dreaming !
thank you","我喜欢这样展示烹饪课的方式：美丽的花园，美丽的蔬菜，美丽的年轻（？）在中国美丽的传统老房子里...
这部鼓舞人心的视频很多工作 - 这是活博物馆！
一段视频忙于有多少园丁，设计师和电影团体忙碌？
但这没关系，我们爱你，让我们做梦！
谢谢"
18653,UgypQZCQXma8Eja0LMh4AaABAg,1,3 years ago,"oh，her videos are the best of chinese traditional food ，i promise.not only because of her beauty,but also her videos let me know so much about traditional food and traditional culture in countryside,which i hardly heard before.as you can see im a chinese.",哦，她的视频是中国传统食物中最好的，我保证。不仅是因为她的美丽，而且她的视频也让我知道了很多关于乡村的传统食物和传统文化的信息，我以前几乎听不到。我是中国人。
21314,Ugz2DrWr7IGKrK-Id6p4AaABAg.90-H9DeEGEQ9046jQfDUcD,1,3 years ago,but baby bamboo is one of the most famous traditional chinese food☺,但是竹子是最著名的传统中国食品之一
21193,UgxbsLrqkrbFFHVrsdJ4AaABAg,1,3 years ago,"well......bamboo shoot is our traditional and also the snails
from northeast india 
and really loved this video","好......竹拍是我们的传统，也是蜗牛
来自印度东北部
真的很喜欢这个视频"
19366,UgxWWLZSky29EJsezpp4AaABAg.91x8OZLdB6P92EhCx2zPsU,1,3 years ago,no，its not ghibli，its chinese traditional culture,不，它不是吉卜力，它的中国传统文化
17975,Ugw6czK9Xf25b4E83At4AaABAg.92ddrN0ohs592nZRLl_PUP,1,3 years ago,"that is not real chinese stuff. could be kinda rural, but actually dramatized most of the shots. not even traditional.",那不是真正的中国东西。可能是乡村，但实际上是戏剧化的大多数镜头。甚至不传统。
12990,Ugw50Ma_YUI1t0ZpZst4AaABAg,1,3 years ago,"it's better when she wears traditional dresses, in modern dress this video losses it's uniqueness. 
but still love this","当她穿传统礼服时，这是更好的选择。
但仍然喜欢这个"
34879,UgyNDJ_5bXtg-5jOd1B4AaABAg,1,3 years ago,this is exactly like our traditional dishes,这就像我们的传统菜肴
24717,UgyqMBguct1-7tqi0XB4AaABAg,1,3 years ago,"the feeling of excitement in learning traditional chinese cuisine every time i watch her videos is greatly influenced by this young and talented lady. 
i wonder if you could finish eating that big bowl of noodles though? :)
naguumipaw sa sahog! oh my i can barely count how many ingredients she put in just one dish. amazing! keep up posting please :)","每次我观看她的视频时，都会在学习传统的中国美食中的兴奋感受到这位年轻而才华横溢的女士的极大影响。
我想知道您是否可以吃那大碗面条？ :)
Naguumipaw Sa Sahog！哦，我几乎不能数她只放一道菜的成分。惊人的！请继续发布:)"
27094,Ugz9OchHkIeQzUmsSpB4AaABAg,1,3 years ago,"hi, i like your video, if you continue to play traditional instruments, i want to know. i really want to see a video tullo played instrument.
hāi, wǒ xǐhuān nǐ de shìpín, rúguǒ nǐ jìxù yǎnzòu chuántǒng yurèqì, wǒ xiǎng zhīdào. wǒ hěn xiǎng kàn dào yīgè shìpín tullo bòfàng yuèqì.","嗨，我喜欢你的视频，如果你继续演奏传统乐器，我想知道。我很想看到一个视频tullo播放乐器。
Hāi, wǒ xǐhuān nǐ de shìpín, rúguǒ nǐ jìxù yǎnzòu chuántǒng yuèqì, wǒ xiǎng zhīdào. Wǒ hěn xiǎng kàn dào yīgè shìpín tullo bòfàng yuèqì."
23157,UgyEjxiRcAoQo1Ge5NJ4AaABAg.8zq8M6TathJ9-3a2LqTDyH,1,3 years ago,"that is a traditional built-in wok. it is hard to control the heat and you have to adapt your methods to the heat below. it can be hard to master. i see some traditional cooking methods from sichuan like the boiling oil over cold foods to cook. but the mountain streams of my family are no-where near that clean. brown or yellow, even the snows of the sichuan mountains are yellow.",那是传统的内置炒锅。很难控制热量，您必须将方法调整到下面的热量中。可能很难掌握。我看到了四川的一些传统烹饪方法，例如冷食上的沸腾油做饭。但是我家人的山溪流在那条干净的地方没有。棕色或黄色，甚至四川山的雪也是黄色。
27057,UgzfOdQXR-kL9LG-pdt4AaABAg.8yiuN41pbwu8yot7gZfWDJ,1,3 years ago,"it's about nature, traditional ! plz don't mention the fucking country or policy ! (i'm chinese)",这是关于自然的，传统的！请不要提及他妈的国家或政策！ （我是中国人）
